Meteorological forcing data for the Large Basin Runoff Model.      
eri, 21,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-7.8391,-4.1502,0.0952 
2010-01-02,-11.6191,-6.6381,0.9381 
2010-01-03,-14.0267,-6.9488,0.8784 
2010-01-04,-8.2189,-6.2195,0.9299 
2010-01-05,-8.1033,-4.6814,0.9995 
2010-01-06,-5.3803,-2.9300,0.1458 
2010-01-07,-5.1952,-3.7085,4.5678 
2010-01-08,-6.2337,-4.4242,7.3546 
2010-01-09,-11.0566,-6.1583,0.1532 
2010-01-10,-9.9132,-6.0594,0.0123 
2010-01-11,-9.1799,-6.0510,2.1895 
2010-01-12,-8.5988,-4.7278,0.5922 
2010-01-13,-7.8560,-2.5127,8.2716e-04 
2010-01-14,-2.7017,0.0981,1.0024e-04 
2010-01-15,0.1620,1.9831,0.0456 
2010-01-16,-4.0409,-0.0678,0.0026 
2010-01-17,-1.7373,0.7245,0.0018 
2010-01-18,-5.3963,0.1238,0.0026 
2010-01-19,-2.9690,-0.3120,0.0858 
2010-01-20,-5.0925,-0.8901,0.0740 
2010-01-21,-5.5320,-0.3214,5.1320e-04 
2010-01-22,-0.3892,0.7860,0.0558 
2010-01-23,-1.4026,1.9288,0.2916 
2010-01-24,2.2327,5.7935,11.3158 
2010-01-25,0.4491,6.1490,7.6433 
2010-01-26,-4.4476,0.1681,2.4737 
2010-01-27,-7.8995,-1.3576,0.2308 
2010-01-28,-10.5009,-3.3946,0.9960 
2010-01-29,-14.8246,-8.8605,0.0219 
2010-01-30,-12.2057,-8.6042,0.0309 
2010-01-31,-10.1115,-4.3362,0.0375 
2010-02-01,-9.4536,-4.3769,0.0391 
2010-02-02,-4.8730,-2.8297,1.0933 
2010-02-03,-3.9532,-0.5229,1.7829 
2010-02-04,-5.3671,-1.1716,0.0019 
2010-02-05,-3.0221,-0.5246,0.0362 
2010-02-06,-8.4253,-1.5862,0.1206 
2010-02-07,-10.3983,-3.2509,0.0746 
2010-02-08,-6.7734,-1.8191,0.0135 
2010-02-09,-7.7006,-2.6970,7.0340 
2010-02-10,-3.4232,-1.5135,12.1356 
2010-02-11,-6.2402,-3.7975,0.6849 
2010-02-12,-10.0274,-3.6271,0.0739 
2010-02-13,-6.9198,-3.6614,0.2155 
2010-02-14,-7.2046,-1.7860,0.2196 
2010-02-15,-6.3340,-2.5038,0.0788 
2010-02-16,-6.0205,-2.5394,0.4302 
2010-02-17,-5.4673,-0.3597,0.1435 
2010-02-18,-3.5335,-0.4352,0.0066 
2010-02-19,-6.3141,0.5210,0.0011 
2010-02-20,-5.8700,-0.1656,2.0517e-05 
2010-02-21,-1.8967,0.6877,0.0044 
2010-02-22,-2.0419,0.5713,17.9217 
2010-02-23,-2.5318,-0.1903,0.3249 
2010-02-24,-2.5082,-0.8331,1.6859 
2010-02-25,-5.3159,-1.1075,1.1646 
2010-02-26,-5.8771,-1.7594,5.4034 
2010-02-27,-1.5803,0.0684,3.6144 
2010-02-28,-2.9082,1.1307,0.2580 
2010-03-01,-3.4224,0.2104,0.0162 
2010-03-02,-5.7044,0.2131,0.0068 
2010-03-03,-6.4333,0.8631,0.0084 
2010-03-04,-5.7539,0.6973,0.0023 
2010-03-05,-6.3913,1.2829,8.8616e-04 
2010-03-06,-4.0540,1.8425,0.0013 
2010-03-07,-1.1427,3.6336,7.0811e-05 
2010-03-08,0.5057,7.8188,0.0012 
2010-03-09,4.3126,8.2736,0.0015 
2010-03-10,3.4045,9.4788,0.2497 
2010-03-11,5.5940,11.6946,0.0101 
2010-03-12,6.6289,12.2470,3.3213 
2010-03-13,4.1489,9.2708,11.5397 
2010-03-14,2.4086,4.7276,7.6239 
2010-03-15,3.2350,10.0746,0.2085 
2010-03-16,2.7503,12.5137,1.2470e-04 
2010-03-17,5.3188,13.4837,8.5763e-05 
2010-03-18,6.2255,15.3600,1.0136e-04 
2010-03-19,5.1902,15.7027,1.0220e-05 
2010-03-20,1.8109,14.9931,0.0024 
2010-03-21,-1.5313,8.2253,0.2127 
2010-03-22,1.5892,6.4326,3.3831 
2010-03-23,3.7062,9.3234,1.0085 
2010-03-24,2.0558,10.7279,5.7802e-04 
2010-03-25,-0.3057,8.4447,7.1227 
2010-03-26,-5.7465,1.1982,0.0093 
2010-03-27,-2.0933,4.1224,0.0174 
2010-03-28,3.0235,6.0941,10.4317 
2010-03-29,3.1597,8.8266,4.1609 
2010-03-30,-0.8174,9.5187,0.0081 
2010-03-31,5.1655,14.9951,0.0131 
2010-04-01,10.5106,21.6815,0.0101 
2010-04-02,12.4380,23.5272,0.0000 
2010-04-03,12.2158,21.1859,0.3758 
2010-04-04,7.8293,16.2986,0.0222 
2010-04-05,9.3896,21.8222,0.4365 
2010-04-06,13.6648,22.8435,3.8555 
2010-04-07,15.1449,21.8684,13.4842 
2010-04-08,7.2537,14.9954,29.7340 
2010-04-09,-1.1182,6.1980,0.0222 
2010-04-10,1.5446,15.2614,0.0031 
2010-04-11,7.9901,15.3572,0.0480 
2010-04-12,6.9981,12.8881,9.1740e-04 
2010-04-13,5.7013,11.6910,4.3954 
2010-04-14,6.7497,14.4739,0.0057 
2010-04-15,8.5396,25.6538,0.0044 
2010-04-16,16.6634,24.5026,0.1847 
2010-04-17,3.5815,14.4941,0.4314 
2010-04-18,3.1264,10.6831,0.0757 
2010-04-19,3.2324,13.5645,7.9339e-05 
2010-04-20,5.6936,13.4301,0.0000 
2010-04-21,8.7642,16.4901,0.0708 
2010-04-22,2.5753,14.9099,0.0158 
2010-04-23,3.2008,11.5429,0.0020 
2010-04-24,8.2116,14.2489,0.5816 
2010-04-25,9.7012,13.2170,15.1197 
2010-04-26,8.0827,13.9203,8.4528 
2010-04-27,1.9569,11.9062,0.0056 
2010-04-28,2.6476,12.4263,0.0058 
2010-04-29,8.4728,15.3087,0.0654 
2010-04-30,12.2758,23.2780,0.0933 
2010-05-01,16.7127,22.2643,3.9063 
2010-05-02,16.2945,19.7716,5.0381 
2010-05-03,14.7895,20.3110,6.5765 
2010-05-04,12.0553,20.5187,0.1069 
2010-05-05,14.4424,23.0324,5.9250 
2010-05-06,10.1132,17.6665,2.3306 
2010-05-07,8.4987,16.6255,7.2791 
2010-05-08,5.9790,14.5934,13.8808 
2010-05-09,0.3039,9.2933,0.6860 
2010-05-10,2.7412,10.8112,0.0123 
2010-05-11,7.1508,9.4984,25.1004 
2010-05-12,6.5693,11.0667,4.3048 
2010-05-13,7.0340,17.7906,10.9798 
2010-05-14,13.0815,18.7925,4.0488 
2010-05-15,8.8844,16.5729,0.0021 
2010-05-16,7.4033,16.6215,4.3100e-04 
2010-05-17,11.6476,16.2276,3.9271 
2010-05-18,10.0125,14.0760,12.2336 
2010-05-19,8.1222,20.1326,0.0035 
2010-05-20,16.0357,25.1955,0.0031 
2010-05-21,15.6754,23.4674,0.2066 
2010-05-22,15.2478,20.6170,10.6513 
2010-05-23,15.7596,22.4789,0.0341 
2010-05-24,14.7817,24.2590,0.0136 
2010-05-25,17.5337,25.1496,7.1970e-04 
2010-05-26,19.1359,27.0698,0.0071 
2010-05-27,22.6421,27.1915,0.2360 
2010-05-28,18.7917,25.7923,0.1097 
2010-05-29,18.6029,25.8431,0.0619 
2010-05-30,18.0203,25.3288,0.0116 
2010-05-31,19.6236,28.4201,2.1110 
2010-06-01,18.1302,24.8028,7.3946 
2010-06-02,19.2873,24.6123,8.0189 
2010-06-03,15.8788,24.4042,0.4021 
2010-06-04,14.7179,24.3311,0.0983 
2010-06-05,17.8099,25.2519,3.8066 
2010-06-06,15.7362,19.5794,50.5291 
2010-06-07,9.5857,17.3511,1.5946 
2010-06-08,11.9058,17.6008,0.0283 
2010-06-09,14.1312,25.1721,6.3232 
2010-06-10,15.3196,24.1681,0.2053 
2010-06-11,15.0317,22.5799,0.0180 
2010-06-12,20.3923,28.0873,0.2210 
2010-06-13,19.1658,26.9134,0.1901 
2010-06-14,18.0589,24.6173,0.1062 
2010-06-15,18.2797,23.5917,0.0860 
2010-06-16,19.3265,24.5635,0.8836 
2010-06-17,14.9671,23.4453,0.0852 
2010-06-18,18.0088,26.4072,0.0370 
2010-06-19,22.4412,27.2524,1.6545 
2010-06-20,18.2529,26.8313,0.0089 
2010-06-21,18.4328,24.4423,0.0053 
2010-06-22,18.7430,28.5915,2.3999 
2010-06-23,23.4534,29.9463,1.6927 
2010-06-24,21.9020,29.8635,6.0294 
2010-06-25,16.5747,24.7184,0.0172 
2010-06-26,20.1907,27.4499,0.0502 
2010-06-27,20.0086,27.7791,1.6190 
2010-06-28,20.9418,26.3084,0.9188 
2010-06-29,14.2976,24.6194,0.0586 
