Meteorological forcing data for the Large Basin Runoff Model.      
stc, 05,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-8.5429,-4.1027,0.0669 
2010-01-02,-12.1074,-6.8875,0.0517 
2010-01-03,-15.0758,-7.2048,0.0518 
2010-01-04,-7.7730,-6.2438,0.4850 
2010-01-05,-8.3435,-5.2671,0.2177 
2010-01-06,-5.9155,-2.9918,0.1624 
2010-01-07,-5.3536,-3.4311,5.6366 
2010-01-08,-5.5268,-4.1424,7.8544 
2010-01-09,-9.5762,-5.1913,0.1227 
2010-01-10,-10.9057,-5.3165,0.0096 
2010-01-11,-10.5495,-5.8843,2.0078 
2010-01-12,-6.2986,-5.0554,1.0106 
2010-01-13,-8.9340,-2.9081,3.1753e-04 
2010-01-14,-3.2499,0.1052,2.1255e-04 
2010-01-15,0.1861,2.1321,0.0535 
2010-01-16,-4.6393,0.1926,0.0033 
2010-01-17,-2.4099,-0.3895,5.7364e-04 
2010-01-18,-6.2099,-0.6212,0.0010 
2010-01-19,-3.2664,-0.2885,0.0441 
2010-01-20,-4.2168,-0.9277,0.0719 
2010-01-21,-6.6662,-0.7997,2.8364e-04 
2010-01-22,-0.6122,0.7557,0.0455 
2010-01-23,-1.4020,1.8577,0.6255 
2010-01-24,2.0982,5.8305,10.7647 
2010-01-25,0.2180,6.9601,6.0659 
2010-01-26,-4.8556,-0.0096,2.8919 
2010-01-27,-8.4556,-1.0935,0.2024 
2010-01-28,-10.5992,-3.5701,0.4550 
2010-01-29,-14.8926,-8.8008,0.0170 
2010-01-30,-11.9493,-8.2511,0.0650 
2010-01-31,-11.1090,-4.2404,0.0198 
2010-02-01,-9.5074,-4.3607,0.0343 
2010-02-02,-5.0802,-2.5054,1.1847 
2010-02-03,-3.8848,-0.3409,1.9040 
2010-02-04,-5.0574,-0.8029,3.6904e-07 
2010-02-05,-3.3769,-0.4369,0.0115 
2010-02-06,-8.4952,-1.3369,0.0332 
2010-02-07,-8.9342,-3.0634,0.1305 
2010-02-08,-5.7807,-1.6562,0.0014 
2010-02-09,-7.8805,-1.9369,7.8973 
2010-02-10,-3.5383,-1.3662,12.2770 
2010-02-11,-6.6372,-3.9564,0.3185 
2010-02-12,-10.2129,-3.7062,0.1309 
2010-02-13,-6.8815,-3.6922,0.3034 
2010-02-14,-7.2465,-1.4381,0.3463 
2010-02-15,-7.7248,-2.5996,0.0510 
2010-02-16,-6.1066,-2.6918,1.0237 
2010-02-17,-5.6434,-0.0624,0.1774 
2010-02-18,-3.8699,-0.2969,0.0099 
2010-02-19,-6.3558,0.5030,9.1349e-04 
2010-02-20,-5.5942,0.3537,1.5074e-04 
2010-02-21,-2.0673,0.6388,3.9883e-04 
2010-02-22,-1.9381,0.6918,20.2080 
2010-02-23,-2.6216,-0.7026,0.2258 
2010-02-24,-3.1150,-0.7892,2.1910 
2010-02-25,-5.6189,-1.1407,1.3359 
2010-02-26,-6.1329,-2.4015,5.6426 
2010-02-27,-2.2353,0.2799,4.0998 
2010-02-28,-1.7522,0.9854,0.2294 
2010-03-01,-2.7250,0.6703,0.0321 
2010-03-02,-4.6075,-0.2126,0.0101 
2010-03-03,-5.4636,0.8334,0.0165 
2010-03-04,-3.9794,0.7962,4.9435e-04 
2010-03-05,-5.0995,0.9574,2.8554e-04 
2010-03-06,-3.1597,1.4212,1.3368e-04 
2010-03-07,-1.0559,5.0472,0.0000 
2010-03-08,0.9639,10.2051,3.4972e-04 
2010-03-09,3.7350,10.1099,3.7484e-04 
2010-03-10,3.3914,11.8400,0.4392 
2010-03-11,6.2767,13.8882,0.0462 
2010-03-12,6.7172,13.6837,2.5460 
2010-03-13,4.9796,10.5087,9.6002 
2010-03-14,2.7301,4.7172,7.9684 
2010-03-15,2.6691,8.9282,0.3609 
2010-03-16,1.7075,12.6358,3.1897e-09 
2010-03-17,4.2541,14.1079,0.0000 
2010-03-18,6.9071,17.1730,0.0000 
2010-03-19,5.7656,17.3770,1.9234e-06 
2010-03-20,1.5619,16.7427,8.8881e-06 
2010-03-21,-1.6391,8.6078,0.2504 
2010-03-22,1.4827,7.4486,2.3658 
2010-03-23,2.9373,10.6692,0.3374 
2010-03-24,2.3840,11.9824,3.1322e-05 
2010-03-25,-0.6974,9.2626,7.3369 
2010-03-26,-4.9728,0.6424,0.0068 
2010-03-27,-3.5120,5.3520,0.0127 
2010-03-28,2.9001,6.8669,11.5601 
2010-03-29,2.2156,6.9650,2.5262 
2010-03-30,-0.7190,10.3773,0.0135 
2010-03-31,5.4703,18.3277,0.0062 
2010-04-01,11.7252,24.1071,0.0073 
2010-04-02,13.2128,25.7826,0.0000 
2010-04-03,12.9576,24.8558,0.2688 
2010-04-04,8.7025,19.6612,0.0046 
2010-04-05,10.3799,22.3461,0.9404 
2010-04-06,11.0258,25.4354,1.9735 
2010-04-07,15.0827,24.7995,14.1346 
2010-04-08,6.9696,15.3959,25.0158 
2010-04-09,-1.5825,6.6313,0.0109 
2010-04-10,2.0420,17.1830,0.0048 
2010-04-11,8.0738,17.2493,0.0370 
2010-04-12,6.3721,14.0796,1.1629e-05 
2010-04-13,5.2376,12.7475,5.0469 
2010-04-14,6.6334,16.8434,0.0111 
2010-04-15,10.3212,27.4909,6.1215e-08 
2010-04-16,17.3675,26.2228,0.1720 
2010-04-17,4.1329,15.5765,0.1213 
2010-04-18,3.8104,11.0522,0.0107 
2010-04-19,3.1237,13.3731,2.4509e-04 
2010-04-20,5.0198,14.8988,0.0000 
2010-04-21,9.4309,18.0824,0.0901 
2010-04-22,3.0528,14.3532,0.0443 
2010-04-23,3.2897,13.6547,5.0353e-04 
2010-04-24,8.2124,15.8764,0.1451 
2010-04-25,10.2065,14.7872,13.1752 
2010-04-26,8.1163,12.9541,9.4874 
2010-04-27,2.5192,9.9329,9.2626e-05 
2010-04-28,2.7526,13.1667,0.0041 
2010-04-29,8.9391,16.3658,0.1773 
2010-04-30,13.1175,24.9457,0.0212 
2010-05-01,18.4334,24.6925,4.5269 
2010-05-02,16.8483,21.0680,7.7520 
2010-05-03,14.4242,20.5709,11.6655 
2010-05-04,12.5035,21.1815,0.1584 
2010-05-05,15.4616,24.5992,8.3771 
2010-05-06,9.7487,18.4909,0.5167 
2010-05-07,9.0409,17.8727,8.5247 
2010-05-08,6.2669,16.3141,9.8703 
2010-05-09,0.5309,10.0433,0.2261 
2010-05-10,3.6203,11.1916,0.0506 
2010-05-11,6.8076,10.6565,23.6340 
2010-05-12,6.6551,11.6599,6.7532 
2010-05-13,6.4962,20.8950,7.7716 
2010-05-14,13.0090,21.9070,1.8202 
2010-05-15,9.3181,16.6373,0.0031 
2010-05-16,8.2674,17.1171,3.7640e-05 
2010-05-17,11.5944,16.3463,4.6518 
2010-05-18,9.7731,13.8550,13.3636 
2010-05-19,7.6410,19.6092,0.0230 
2010-05-20,16.2428,25.4029,9.0891e-04 
2010-05-21,15.3096,24.6051,0.1540 
2010-05-22,15.4647,22.4647,5.6270 
2010-05-23,16.7225,24.5532,0.0151 
2010-05-24,16.5435,25.7997,7.8241e-04 
2010-05-25,18.5293,26.5650,0.0000 
2010-05-26,19.4746,27.8390,1.4309e-04 
2010-05-27,22.8983,27.4632,0.0728 
2010-05-28,18.3823,26.3130,0.0131 
2010-05-29,17.9570,25.1704,2.0570e-07 
2010-05-30,17.1200,27.6268,3.0867e-07 
2010-05-31,20.0527,29.8554,2.6004 
2010-06-01,18.1095,25.7609,4.5245 
2010-06-02,19.2471,26.1471,5.5915 
2010-06-03,15.2433,24.7140,0.1489 
2010-06-04,14.6213,25.5158,0.0276 
2010-06-05,18.2842,25.5640,3.7054 
2010-06-06,14.7294,20.8690,59.1103 
2010-06-07,10.4864,17.9971,0.5763 
2010-06-08,11.4552,18.4497,0.0170 
2010-06-09,13.6223,25.7653,4.2528 
2010-06-10,15.6136,24.4563,0.0384 
2010-06-11,15.1263,25.2400,0.0197 
2010-06-12,21.9081,29.5196,0.1403 
2010-06-13,17.9575,27.0692,0.4195 
2010-06-14,18.3034,25.2207,0.1573 
2010-06-15,18.3386,24.3550,0.0390 
2010-06-16,19.1636,24.7282,1.2185 
2010-06-17,15.3728,23.7842,0.0449 
2010-06-18,18.1575,28.5449,0.0227 
2010-06-19,23.2843,28.5121,2.2676 
2010-06-20,18.7388,27.0404,7.7626e-04 
2010-06-21,18.5588,26.0728,0.0045 
2010-06-22,18.8388,28.7242,3.8481 
2010-06-23,23.9769,31.0560,2.4769 
2010-06-24,22.3164,30.9136,7.8186 
2010-06-25,16.8534,25.6667,0.0234 
2010-06-26,20.2183,28.8182,0.0313 
2010-06-27,19.1918,30.2097,1.3918 
2010-06-28,20.0531,27.0074,0.0549 
2010-06-29,14.5996,25.3726,0.0077 
2010-06-30,12.8109,21.2197,0.0000 
2010-07-01,14.6501,20.9388,0.0000 
2010-07-02,14.7899,23.3696,0.0000 
2010-07-03,18.8461,26.9275,0.0000 
2010-07-04,21.8197,31.7850,2.8201e-04 
2010-07-05,24.1040,32.1326,0.0032 
2010-07-06,24.7618,32.6881,0.0075 
2010-07-07,26.1844,33.0488,0.0029 
2010-07-08,27.0371,32.6809,4.0333 
2010-07-09,22.4708,30.2769,6.3779 
2010-07-10,21.6300,27.0015,0.0532 
2010-07-11,22.7809,28.8748,0.3935 
2010-07-12,18.4164,27.9556,6.2180 
2010-07-13,19.5443,26.7380,0.2178 
2010-07-14,20.3308,28.1506,0.0240 
2010-07-15,23.1192,31.0675,3.0962 
2010-07-16,21.4999,30.6340,4.2100 
2010-07-17,22.7894,30.5717,0.3335 
2010-07-18,21.7503,31.2836,0.3991 
2010-07-19,20.9142,28.6657,9.9118 
2010-07-20,19.6572,26.2356,5.9516 
2010-07-21,20.7625,27.8024,0.3705 
2010-07-22,22.1214,27.5068,1.6889 
2010-07-23,18.9633,31.8724,28.5562 
2010-07-24,24.4051,31.6019,8.3176 
2010-07-25,20.8618,29.1673,22.7128 
2010-07-26,19.7379,25.4528,0.0350 
2010-07-27,22.0182,26.8633,0.0075 
2010-07-28,22.9031,30.4898,3.5394 
2010-07-29,18.3234,23.6812,1.9856 
2010-07-30,19.4629,24.4293,3.3657e-04 
2010-07-31,19.2033,25.1849,0.1051 
2010-08-01,19.4060,25.6281,0.0018 
2010-08-02,22.0184,26.7700,1.4796e-05 
2010-08-03,23.7739,28.4161,0.1448 
2010-08-04,24.6776,28.9378,0.0076 
2010-08-05,22.4207,28.8511,0.0976 
2010-08-06,19.8720,25.1767,7.7732e-05 
2010-08-07,16.6622,23.7242,5.9969e-06 
2010-08-08,21.5778,27.8943,0.0324 
2010-08-09,21.7256,28.5435,0.1535 
2010-08-10,21.3647,28.5295,1.0995 
2010-08-11,21.7748,27.9627,0.0018 
2010-08-12,20.4977,27.8728,0.6110 
2010-08-13,21.9040,27.5704,0.3002 
2010-08-14,23.7126,31.6609,0.1351 
2010-08-15,21.6680,30.9733,0.5605 
2010-08-16,19.4039,27.1766,0.1100 
2010-08-17,19.8423,26.7218,9.1433e-07 
2010-08-18,19.8502,26.3310,0.1947 
2010-08-19,21.5519,28.4292,0.0113 
2010-08-20,18.9362,26.0973,0.0763 
2010-08-21,20.3868,29.2610,7.0321 
2010-08-22,20.3487,22.8506,1.0694 
2010-08-23,19.6173,23.9841,0.1702 
