Meteorological forcing data for the Large Basin Runoff Model.      
eri, 19,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-5.4406,-2.7490,2.5185 
2010-01-02,-13.3550,-6.2215,0.5481 
2010-01-03,-13.3709,-8.4424,0.8262 
2010-01-04,-10.5643,-7.5193,0.3774 
2010-01-05,-9.5446,-5.7203,2.2279 
2010-01-06,-8.0742,-5.4189,0.7185 
2010-01-07,-7.5085,-3.2988,0.3887 
2010-01-08,-9.9403,-5.2560,3.6543 
2010-01-09,-13.3461,-8.6488,0.0389 
2010-01-10,-12.7348,-5.9779,0.0167 
2010-01-11,-10.2831,-6.8210,2.6387 
2010-01-12,-11.6433,-6.9020,1.2123 
2010-01-13,-9.0729,-2.7819,0.0238 
2010-01-14,-5.1187,1.5185,0.0069 
2010-01-15,-0.9821,1.2552,0.3723 
2010-01-16,-5.0070,-0.2179,0.0500 
2010-01-17,-4.9051,1.0146,0.0193 
2010-01-18,-4.5816,0.6136,0.0145 
2010-01-19,-3.5276,0.0191,1.0488 
2010-01-20,-6.1144,-2.0961,0.3400 
2010-01-21,-9.8113,-1.2886,0.0124 
2010-01-22,-4.2112,0.2260,0.0129 
2010-01-23,-5.5105,0.4658,0.0047 
2010-01-24,-1.1517,4.9643,4.6275 
2010-01-25,-0.5673,6.3427,12.2245 
2010-01-26,-3.0057,-0.7779,2.1310 
2010-01-27,-7.0753,-1.4328,2.4717 
2010-01-28,-10.8981,-5.7515,3.5551 
2010-01-29,-13.0749,-10.9870,2.0656 
2010-01-30,-17.5347,-10.6430,0.0154 
2010-01-31,-13.5761,-5.8296,2.9026 
2010-02-01,-10.0156,-5.9321,1.8574 
2010-02-02,-8.3085,-4.5559,0.8498 
2010-02-03,-6.9811,-1.8802,2.2315 
2010-02-04,-7.2618,-1.6972,0.1044 
2010-02-05,-5.1756,-1.6964,0.0032 
2010-02-06,-12.6638,-4.4164,0.0267 
2010-02-07,-13.1499,-4.7202,0.0247 
2010-02-08,-11.7843,-3.4821,0.0049 
2010-02-09,-10.7377,-5.6889,0.3982 
2010-02-10,-6.1862,-2.9344,4.1306 
2010-02-11,-10.4520,-3.6382,0.1279 
2010-02-12,-8.4448,-3.4509,0.2090 
2010-02-13,-9.6154,-4.3576,0.2357 
2010-02-14,-6.6371,-2.7149,0.6437 
2010-02-15,-6.0302,-2.5203,1.2956 
2010-02-16,-7.8049,-2.0625,0.4213 
2010-02-17,-5.5710,-1.5658,0.4041 
2010-02-18,-4.4240,-1.2262,0.1837 
2010-02-19,-3.9577,-0.2969,0.0753 
2010-02-20,-6.1567,1.3460,0.0032 
2010-02-21,-5.8619,2.5285,0.0016 
2010-02-22,-5.9155,0.1789,8.6642 
2010-02-23,-2.5072,-0.4200,3.4718 
2010-02-24,-6.2758,-0.5516,0.5857 
2010-02-25,-5.0108,-1.4199,2.5866 
2010-02-26,-5.6333,1.3957,8.2960 
2010-02-27,-3.0905,1.4603,2.4008 
2010-02-28,-3.2208,2.4918,0.4704 
2010-03-01,-3.5830,1.2099,0.0247 
2010-03-02,-7.3470,0.4792,0.0016 
2010-03-03,-4.2470,1.8841,8.3343e-04 
2010-03-04,-6.7625,0.7401,1.3098e-04 
2010-03-05,-6.2902,1.0886,1.7542e-04 
2010-03-06,-5.7580,4.0513,6.4021e-04 
2010-03-07,-3.1547,3.8399,1.3409e-04 
2010-03-08,-1.6130,6.9203,2.4130e-06 
2010-03-09,2.0068,10.1279,0.0040 
2010-03-10,2.6431,8.7459,0.0012 
2010-03-11,1.0464,10.2145,0.1340 
2010-03-12,4.1384,6.7471,2.1857 
2010-03-13,1.8666,5.5371,14.9678 
2010-03-14,1.9627,4.0883,17.6212 
2010-03-15,1.6994,9.2823,0.5620 
2010-03-16,2.0668,12.9444,0.0019 
2010-03-17,5.5688,13.3407,1.8189e-04 
2010-03-18,3.6683,12.6032,2.7098e-04 
2010-03-19,4.3217,13.9858,1.4442e-04 
2010-03-20,0.4349,12.3825,0.0832 
2010-03-21,-2.4059,5.3899,0.2973 
2010-03-22,-1.6119,4.2999,3.5868 
2010-03-23,2.6481,5.2483,1.1098 
2010-03-24,-1.8385,10.5817,0.0963 
2010-03-25,1.2687,7.9720,0.1374 
2010-03-26,-9.8302,0.0536,0.0037 
2010-03-27,-6.1974,4.5984,3.4999e-04 
2010-03-28,1.6102,4.6308,3.6427 
2010-03-29,1.8533,8.3796,5.0690 
2010-03-30,-0.9460,11.0551,9.7762e-04 
2010-03-31,4.3417,14.1620,1.0566e-04 
2010-04-01,8.0039,19.8529,0.0131 
2010-04-02,12.2261,23.3226,0.0099 
2010-04-03,14.3844,24.1699,0.1223 
2010-04-04,6.6164,16.1946,0.1963 
2010-04-05,9.9766,19.1053,0.1738 
2010-04-06,7.3785,17.4045,13.7156 
2010-04-07,14.2346,18.6805,3.8037 
2010-04-08,7.9509,14.1481,23.9277 
2010-04-09,-2.0387,7.6289,0.2400 
2010-04-10,-2.1694,11.8672,0.0502 
2010-04-11,2.9792,13.9241,0.7001 
2010-04-12,4.2423,12.0876,1.8853e-04 
