Meteorological forcing data for the Large Basin Runoff Model.      
eri, 14,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-4.9957,-2.6974,0.4023 
2010-01-02,-8.8487,-4.3979,2.8163 
2010-01-03,-9.6011,-5.1285,5.9112 
2010-01-04,-6.6059,-4.8907,3.0336 
2010-01-05,-5.1517,-3.8044,4.4188 
2010-01-06,-3.7804,-2.7706,4.0249 
2010-01-07,-4.3820,-2.9469,0.2974 
2010-01-08,-5.9250,-4.1741,3.5456 
2010-01-09,-8.0119,-5.5384,0.2096 
2010-01-10,-7.9658,-4.1015,0.1835 
2010-01-11,-9.2857,-5.4784,1.1014 
2010-01-12,-6.2707,-4.3666,0.4927 
2010-01-13,-5.5457,0.0170,0.1547 
2010-01-14,-4.2143,4.4216,0.0000 
2010-01-15,0.0903,2.5373,0.1548 
2010-01-16,-0.8001,3.5581,0.0182 
2010-01-17,0.8426,5.2175,0.0387 
2010-01-18,-2.1209,3.3457,0.0112 
2010-01-19,-2.0498,-0.8715,0.2339 
2010-01-20,-3.7770,-1.5250,0.2729 
2010-01-21,-6.5309,4.1214,2.2272e-04 
2010-01-22,0.3154,4.2062,1.5111 
2010-01-23,-3.0425,5.2748,0.0067 
2010-01-24,2.2987,6.4759,6.1817 
2010-01-25,0.1868,8.4366,21.0466 
2010-01-26,-3.9399,1.0821,4.2109 
2010-01-27,-7.5638,-3.0350,1.1110 
2010-01-28,-9.8467,-1.9048,4.0366 
2010-01-29,-10.9004,-9.1187,0.1636 
2010-01-30,-11.1966,-8.1451,0.1776 
2010-01-31,-12.0786,-4.8615,0.0651 
2010-02-01,-7.7488,-4.4347,0.1855 
2010-02-02,-6.9925,-1.6475,0.2378 
2010-02-03,-3.2320,-1.1207,1.3391 
2010-02-04,-5.5658,0.5225,0.1103 
2010-02-05,-3.6847,0.7374,0.0851 
2010-02-06,-6.4408,-0.3919,0.8108 
2010-02-07,-7.4795,-5.3796,0.1623 
2010-02-08,-6.3801,-2.9578,0.0027 
2010-02-09,-8.0641,-1.0685,3.0553 
2010-02-10,-6.8997,0.0042,11.1152 
2010-02-11,-5.2661,-2.7035,3.6841 
2010-02-12,-7.5602,-3.6155,0.3322 
2010-02-13,-5.1146,-3.5025,0.3178 
2010-02-14,-5.0551,-2.2289,1.0131 
2010-02-15,-6.8834,-0.4940,0.1230 
2010-02-16,-4.7024,-2.4692,3.5883 
2010-02-17,-4.3381,-1.6698,1.4020 
2010-02-18,-2.7269,-1.2497,1.2003 
2010-02-19,-4.2448,-0.6044,0.0839 
2010-02-20,-6.6573,-0.1135,0.0273 
2010-02-21,-4.1917,3.0783,0.0016 
2010-02-22,-0.7457,4.8124,6.8791 
2010-02-23,-1.7275,3.8492,0.9819 
2010-02-24,-3.0576,0.7909,0.1858 
2010-02-25,-5.5967,-1.4737,1.5069 
2010-02-26,-6.1674,-2.1463,8.9091 
2010-02-27,-2.8357,-0.2968,7.8541 
2010-02-28,-2.4107,0.6543,5.7768 
2010-03-01,-1.8000,0.3704,0.3682 
2010-03-02,-5.9585,-0.0723,0.1361 
2010-03-03,-4.8808,-0.1466,0.0359 
2010-03-04,-5.1817,0.2953,0.0219 
2010-03-05,-5.3598,0.6788,0.0040 
2010-03-06,-6.3225,1.2469,6.1669e-04 
2010-03-07,-2.4109,4.2273,7.2881e-04 
2010-03-08,-0.4380,5.3668,0.0000 
2010-03-09,2.1873,9.4308,0.0097 
2010-03-10,3.6821,13.7066,0.1691 
2010-03-11,4.9890,11.1583,0.0071 
2010-03-12,4.6203,12.9930,1.4521 
2010-03-13,2.1555,6.2367,6.3720 
2010-03-14,0.6977,2.7058,8.7707 
2010-03-15,0.7533,2.9441,0.3906 
2010-03-16,0.3948,6.5245,0.0030 
2010-03-17,3.9568,8.5283,0.0000 
2010-03-18,4.5013,10.3210,4.4105e-05 
2010-03-19,4.8611,12.0885,3.9165e-04 
2010-03-20,2.3451,11.7266,7.7673e-05 
2010-03-21,-0.4208,4.6006,0.2982 
2010-03-22,1.6499,4.9044,11.5127 
2010-03-23,1.4299,3.6058,9.4273 
2010-03-24,-0.3913,6.7903,6.1965e-04 
2010-03-25,0.8052,7.4313,14.4844 
2010-03-26,-4.1355,0.3107,2.8215 
2010-03-27,-5.6762,7.0148,0.0000 
2010-03-28,3.7631,6.6775,4.5345 
2010-03-29,3.0194,8.6091,2.4544 
2010-03-30,-0.2602,5.2370,0.0176 
2010-03-31,4.0389,15.8019,0.0094 
2010-04-01,9.6441,23.4341,0.0000 
2010-04-02,15.6680,27.1576,0.0000 
2010-04-03,17.7182,26.9491,0.0010 
2010-04-04,9.5060,20.0994,6.6482e-04 
2010-04-05,13.8259,20.3613,0.1302 
2010-04-06,15.7811,26.6394,1.6467 
2010-04-07,21.2760,25.7775,0.0850 
2010-04-08,8.0211,22.9574,7.7863 
2010-04-09,0.9236,7.0377,0.4377 
2010-04-10,1.4958,16.4240,0.1727 
2010-04-11,7.5346,15.9925,0.0024 
2010-04-12,5.5322,11.7194,2.5831e-06 
2010-04-13,5.9121,11.4935,0.0127 
2010-04-14,7.5885,17.6278,7.0293e-06 
2010-04-15,12.0369,24.6570,0.0832 
2010-04-16,16.4928,23.7768,3.7243 
2010-04-17,3.2161,15.7061,0.3927 
2010-04-18,2.4862,8.1854,0.5257 
2010-04-19,3.3076,11.6197,0.0090 
2010-04-20,5.8928,12.1267,0.0000 
2010-04-21,7.6218,14.9004,1.6945e-04 
2010-04-22,3.8408,14.0899,0.0034 
2010-04-23,4.0548,12.5842,1.2413e-05 
2010-04-24,8.0836,16.1816,0.7271 
2010-04-25,10.4987,17.7293,26.4405 
2010-04-26,7.9869,10.4387,11.1435 
2010-04-27,3.0460,9.9416,0.3992 
2010-04-28,2.8504,9.3079,0.0044 
2010-04-29,6.7691,15.5984,3.2337e-04 
2010-04-30,11.9475,25.7074,2.1351e-04 
2010-05-01,17.4297,26.6454,0.0738 
2010-05-02,18.1231,22.6747,0.6008 
2010-05-03,15.5419,21.1971,1.1970 
2010-05-04,12.4469,19.1149,1.0593 
2010-05-05,14.5996,25.8606,0.3676 
2010-05-06,11.7799,16.6356,11.3118 
2010-05-07,8.2596,23.3581,0.2704 
2010-05-08,4.8540,19.3370,8.6194 
2010-05-09,2.9247,6.2071,0.4138 
2010-05-10,4.5752,9.7167,1.8661e-05 
2010-05-11,5.1287,9.6691,19.5781 
2010-05-12,7.3700,11.2348,12.7391 
2010-05-13,5.0877,19.4804,2.6813 
2010-05-14,15.4765,18.8702,8.8315 
2010-05-15,9.5797,15.8558,0.0036 
2010-05-16,7.1052,15.3384,6.6644e-05 
2010-05-17,12.0101,17.0919,0.5870 
2010-05-18,10.3696,16.0931,9.1648 
2010-05-19,7.1381,17.5010,0.1686 
2010-05-20,12.8192,22.9206,0.0029 
2010-05-21,15.9777,23.9160,0.0748 
2010-05-22,15.7652,22.9923,6.2630 
2010-05-23,15.7156,23.3559,1.5280 
2010-05-24,16.6241,25.7303,0.0048 
2010-05-25,17.6676,25.6442,0.0014 
2010-05-26,20.3485,25.9852,0.0196 
2010-05-27,18.8978,25.7989,3.4230e-05 
2010-05-28,16.9352,23.3532,0.0000 
2010-05-29,18.1243,23.8116,0.0120 
2010-05-30,17.6010,25.2901,2.8106e-05 
2010-05-31,21.6413,27.3175,9.9008 
2010-06-01,18.9416,24.5747,12.4177 
2010-06-02,18.1624,27.0001,0.7500 
2010-06-03,16.6598,24.5327,0.4447 
2010-06-04,15.0763,25.7440,0.1918 
2010-06-05,17.9724,25.8333,0.0321 
2010-06-06,14.1578,23.2314,20.1507 
2010-06-07,12.1211,16.7861,4.0805 
2010-06-08,11.8528,18.2198,0.0094 
2010-06-09,13.6231,22.8374,6.8076 
2010-06-10,16.0501,22.5358,0.1119 
2010-06-11,15.8562,25.1197,0.2712 
2010-06-12,21.6804,27.3187,0.0311 
2010-06-13,19.7217,26.8483,0.6282 
2010-06-14,17.4898,23.1692,0.2132 
2010-06-15,18.3202,24.4006,0.0063 
2010-06-16,19.5731,24.3917,0.0084 
2010-06-17,15.2943,22.7885,0.0147 
2010-06-18,17.5451,26.6871,0.0204 
2010-06-19,21.3268,30.1511,0.0015 
2010-06-20,18.9618,27.0384,0.0186 
2010-06-21,17.2959,24.1231,0.0000 
2010-06-22,18.6953,26.5641,1.0959 
2010-06-23,22.0609,30.3580,3.5365 
2010-06-24,21.3641,29.6619,1.5720 
2010-06-25,17.8674,22.7070,0.3850 
2010-06-26,19.2383,26.5203,0.1470 
2010-06-27,19.7084,30.8044,0.4621 
2010-06-28,20.5033,25.7538,10.3100 
2010-06-29,15.6573,24.3715,0.0446 
2010-06-30,15.1190,17.3921,2.3413e-06 
2010-07-01,15.7342,18.6874,0.0267 
2010-07-02,14.6629,21.1942,7.8751e-04 
2010-07-03,17.7414,26.9123,0.0297 
2010-07-04,22.2691,29.8337,0.0000 
2010-07-05,24.0692,29.7393,9.4763e-06 
2010-07-06,26.8699,30.0931,3.9264e-05 
2010-07-07,25.8475,30.3556,0.0024 
