Meteorological forcing data for the Large Basin Runoff Model.      
stc, 04,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-7.2266,-4.0540,0.1015 
2010-01-02,-12.0202,-6.8229,0.1293 
2010-01-03,-14.8072,-6.9796,0.1569 
2010-01-04,-7.8475,-6.2140,1.2403 
2010-01-05,-8.3191,-5.0639,0.2666 
2010-01-06,-5.4245,-2.9215,0.0814 
2010-01-07,-4.8760,-3.2854,2.6644 
2010-01-08,-5.5525,-3.7110,4.0755 
2010-01-09,-9.7075,-4.9513,0.0364 
2010-01-10,-10.7421,-5.3151,0.0066 
2010-01-11,-11.2163,-5.6225,1.6119 
2010-01-12,-6.0972,-4.0811,0.7203 
2010-01-13,-8.8942,-2.8089,0.0000 
2010-01-14,-3.5307,0.5741,6.0888e-04 
2010-01-15,0.0398,2.0485,0.0663 
2010-01-16,-4.4137,0.2795,0.0080 
2010-01-17,-3.1262,-0.2337,0.0000 
2010-01-18,-5.6424,-0.6966,0.0016 
2010-01-19,-2.9857,-0.1147,0.0691 
2010-01-20,-4.9730,-0.9753,0.0661 
2010-01-21,-4.7353,-0.1520,4.7370e-04 
2010-01-22,-0.5194,0.8714,0.0385 
2010-01-23,-1.2704,1.3053,0.2883 
2010-01-24,1.7415,6.9322,6.8348 
2010-01-25,0.3745,7.0139,4.1939 
2010-01-26,-4.1297,0.1545,0.8898 
2010-01-27,-7.1224,-0.4574,0.2088 
2010-01-28,-10.7502,-3.6472,0.4867 
2010-01-29,-14.0757,-8.6513,3.5731e-04 
2010-01-30,-9.9403,-8.3719,0.1001 
2010-01-31,-10.5362,-3.7530,0.0333 
2010-02-01,-9.8839,-3.9262,0.0241 
2010-02-02,-4.9430,-2.4824,1.0487 
2010-02-03,-3.4887,-0.2269,1.5491 
2010-02-04,-5.6833,-0.1112,6.2533e-04 
2010-02-05,-2.5992,-0.3706,0.0027 
2010-02-06,-8.0021,-0.8583,0.0067 
2010-02-07,-7.4514,-2.6046,0.2466 
2010-02-08,-6.4577,-0.9547,2.5063e-05 
2010-02-09,-6.5590,-1.3173,7.4861 
2010-02-10,-3.8288,-2.2548,13.0456 
2010-02-11,-6.5283,-3.7775,0.2365 
2010-02-12,-9.2886,-3.2965,0.0744 
2010-02-13,-7.2549,-3.5264,0.1669 
2010-02-14,-6.9655,-0.9852,0.1074 
2010-02-15,-6.7797,-1.5850,0.1067 
2010-02-16,-6.0323,-2.5732,1.9336 
2010-02-17,-5.1583,-0.1837,0.2092 
2010-02-18,-4.1997,-0.2875,0.0047 
2010-02-19,-5.7079,0.5556,0.0000 
2010-02-20,-5.2356,1.0993,0.0000 
2010-02-21,-0.9546,2.7835,7.2978e-04 
2010-02-22,-2.0496,0.0660,16.2045 
2010-02-23,-2.7052,-0.6823,0.7553 
2010-02-24,-3.0583,-1.0532,1.3407 
2010-02-25,-5.7144,-0.9887,1.6606 
2010-02-26,-6.1469,-2.2375,4.9934 
2010-02-27,-2.0689,0.4913,3.4424 
2010-02-28,-1.7833,1.5332,0.4405 
2010-03-01,-3.1799,0.8704,0.0032 
2010-03-02,-5.1396,0.4320,0.0108 
2010-03-03,-5.6235,1.1938,0.0255 
2010-03-04,-4.3113,1.4631,0.0011 
2010-03-05,-5.0673,2.9726,2.6878e-04 
2010-03-06,-3.1012,5.4240,0.0000 
2010-03-07,-0.9884,7.5240,0.0000 
2010-03-08,1.7460,10.4428,2.3583e-05 
2010-03-09,4.3571,11.6782,2.7871e-05 
