Meteorological forcing data for the Large Basin Runoff Model.      
eri, 13,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-5.5013,-3.1039,0.5406 
2010-01-02,-9.7880,-5.0557,1.9480 
2010-01-03,-10.8354,-6.2048,3.4669 
2010-01-04,-6.8041,-5.3176,3.5020 
2010-01-05,-5.6825,-4.5107,4.0284 
2010-01-06,-4.6175,-2.9668,3.0695 
2010-01-07,-4.9033,-3.3765,0.8032 
2010-01-08,-6.2262,-4.6021,3.8014 
2010-01-09,-8.1979,-5.7566,0.4978 
2010-01-10,-8.8434,-5.0788,0.1952 
2010-01-11,-9.9027,-5.7663,1.2343 
2010-01-12,-6.8350,-4.5710,0.6828 
2010-01-13,-6.6132,-0.2378,0.2040 
2010-01-14,-4.8560,4.0618,0.0000 
2010-01-15,0.3201,2.2071,0.1199 
2010-01-16,-0.7785,3.4431,0.0381 
2010-01-17,0.9653,4.9060,0.2586 
2010-01-18,-2.2503,3.0152,0.0349 
2010-01-19,-2.3903,-0.8057,0.1993 
2010-01-20,-3.9852,-1.5933,0.2208 
2010-01-21,-6.9302,3.7555,0.0017 
2010-01-22,0.4173,4.6831,1.5674 
2010-01-23,-2.7439,5.3603,0.0128 
2010-01-24,1.9665,6.6075,8.2216 
2010-01-25,0.7864,8.0847,21.3621 
2010-01-26,-4.2913,1.1764,5.2923 
2010-01-27,-8.1044,-2.9338,0.9203 
2010-01-28,-10.3001,-2.0181,2.9162 
2010-01-29,-11.7604,-9.4957,0.2851 
2010-01-30,-11.9558,-8.5014,0.1352 
2010-01-31,-12.4049,-4.6869,0.0303 
2010-02-01,-8.3379,-4.4677,0.1853 
2010-02-02,-6.8485,-0.9252,0.1562 
2010-02-03,-3.3753,-0.9887,1.4321 
2010-02-04,-5.6614,1.3652,0.1484 
2010-02-05,-3.6121,1.0196,0.2190 
2010-02-06,-6.4320,0.0704,1.7754 
2010-02-07,-7.9730,-4.4887,0.2483 
2010-02-08,-7.4503,-2.7491,0.0093 
2010-02-09,-7.6301,-0.8485,3.7074 
2010-02-10,-7.7460,0.2697,11.7999 
2010-02-11,-5.3263,-3.2400,3.2950 
2010-02-12,-7.9136,-3.3305,0.5519 
2010-02-13,-6.3989,-3.4959,0.5767 
2010-02-14,-4.9697,-2.1378,1.2485 
2010-02-15,-8.2819,0.2448,0.2365 
2010-02-16,-5.3184,-2.4603,5.2344 
2010-02-17,-4.8823,-1.8214,1.0366 
2010-02-18,-2.5970,-1.3595,0.7769 
2010-02-19,-3.9721,0.1037,0.0908 
2010-02-20,-6.1641,0.8684,0.0035 
2010-02-21,-3.8108,3.6945,0.0053 
2010-02-22,-0.5823,4.4423,6.8076 
2010-02-23,-1.8327,3.5054,0.7331 
2010-02-24,-3.5495,1.2354,1.0165 
2010-02-25,-5.8193,-0.9145,1.6368 
2010-02-26,-6.6131,-2.8963,7.0457 
2010-02-27,-2.9076,-0.1057,6.2933 
2010-02-28,-1.7601,1.3100,4.4691 
2010-03-01,-1.8145,1.2075,0.3826 
2010-03-02,-5.3464,1.1172,0.1570 
2010-03-03,-5.0593,0.8840,0.0525 
2010-03-04,-5.4303,0.5028,0.0421 
2010-03-05,-6.3752,1.2987,0.0064 
2010-03-06,-7.7227,1.9904,0.0039 
2010-03-07,-2.5045,4.9047,0.0018 
2010-03-08,0.1781,6.4740,0.0000 
2010-03-09,2.8828,9.7468,0.0041 
2010-03-10,3.0241,13.2340,0.2365 
2010-03-11,5.7529,11.4234,0.0013 
2010-03-12,5.7410,13.0992,1.1171 
2010-03-13,2.1138,6.7841,6.8003 
2010-03-14,0.7798,3.3552,9.9635 
2010-03-15,0.6082,3.0933,0.4739 
2010-03-16,0.7515,7.7511,0.0061 
2010-03-17,4.7020,10.1849,0.0000 
2010-03-18,5.6880,11.8885,1.5800e-05 
2010-03-19,5.0047,13.9308,1.2132e-04 
2010-03-20,3.2644,13.2530,3.5831e-05 
2010-03-21,-0.8264,6.9486,0.2611 
2010-03-22,1.6962,5.1935,12.0476 
2010-03-23,1.3043,4.5612,8.6097 
2010-03-24,-0.4245,8.2086,1.2161e-05 
2010-03-25,0.7535,7.4511,14.1820 
2010-03-26,-4.2447,0.2664,3.3377 
2010-03-27,-6.2499,8.0906,3.8091e-04 
2010-03-28,4.1176,8.2179,5.7114 
2010-03-29,3.6974,9.3154,2.3144 
2010-03-30,-0.6875,6.6398,0.0140 
2010-03-31,5.0119,17.2223,0.0070 
2010-04-01,10.5450,23.9276,1.8630e-06 
2010-04-02,16.0036,27.3566,2.2017e-06 
2010-04-03,17.0013,26.7007,2.8397e-04 
2010-04-04,10.2505,20.3908,2.0164e-04 
2010-04-05,14.6618,21.8580,0.0588 
2010-04-06,16.0074,26.5932,0.1065 
2010-04-07,20.9880,25.7062,0.0356 
2010-04-08,8.4300,24.6361,5.9061 
2010-04-09,0.9866,7.3665,0.4495 
2010-04-10,1.4539,16.2400,0.1064 
2010-04-11,8.2868,15.7445,0.0063 
2010-04-12,5.7849,13.3611,8.5336e-05 
2010-04-13,5.5506,13.0637,1.2342 
2010-04-14,6.8169,17.6993,1.5939e-04 
2010-04-15,12.7773,25.2036,0.0182 
2010-04-16,16.3711,24.1552,2.7492 
2010-04-17,3.2284,16.4990,0.2709 
2010-04-18,2.4173,8.2374,0.5019 
2010-04-19,2.8503,11.9640,0.0013 
2010-04-20,6.3064,14.7531,0.0000 
2010-04-21,8.3242,15.9240,2.4231e-05 
2010-04-22,3.9181,14.6215,0.0025 
2010-04-23,4.3293,14.9979,3.5700e-08 
2010-04-24,9.0413,16.6322,1.8367 
2010-04-25,12.3927,18.8834,23.1088 
2010-04-26,8.5114,11.7835,10.9948 
2010-04-27,2.7275,10.4753,0.1196 
2010-04-28,1.8136,9.5866,0.0048 
2010-04-29,6.7271,16.8640,0.0044 
2010-04-30,11.4120,25.3584,0.0027 
2010-05-01,16.9453,26.5957,0.0224 
2010-05-02,17.8475,22.8325,0.8155 
2010-05-03,16.4810,21.1576,1.6941 
2010-05-04,12.8622,20.0137,0.5594 
2010-05-05,14.3937,25.7555,0.2437 
2010-05-06,12.0709,16.7706,11.0347 
2010-05-07,9.0448,24.1700,0.1775 
2010-05-08,5.2418,19.9869,10.0449 
2010-05-09,2.5862,6.3524,2.2568 
2010-05-10,3.8533,10.6788,0.0012 
2010-05-11,5.1278,9.9609,14.9520 
2010-05-12,8.1498,13.6962,9.3092 
2010-05-13,5.0097,20.0150,2.3285 
2010-05-14,15.8060,20.5307,9.7335 
2010-05-15,9.9521,16.9812,1.7838e-04 
2010-05-16,7.4596,17.0950,0.0000 
2010-05-17,11.9153,15.7257,1.8449 
2010-05-18,10.4790,17.1048,13.7342 
2010-05-19,6.7345,18.9384,0.1937 
2010-05-20,13.5438,23.6361,0.0028 
2010-05-21,16.7185,23.3233,0.0473 
2010-05-22,15.2218,22.5195,7.2702 
2010-05-23,15.0805,24.6216,2.3755 
2010-05-24,16.0972,26.3174,3.9300e-04 
2010-05-25,17.0537,26.6610,6.4336e-05 
2010-05-26,20.4922,26.9179,0.0102 
2010-05-27,20.2794,27.0435,8.8158e-06 
2010-05-28,17.6527,25.2415,0.0000 
2010-05-29,18.4966,24.7861,0.0052 
2010-05-30,18.0960,27.1290,4.3831e-08 
2010-05-31,21.9713,26.5715,20.1511 
2010-06-01,19.3602,24.2335,10.6324 
2010-06-02,18.1945,26.7713,1.0661 
