Meteorological forcing data for the Large Basin Runoff Model.      
eri, 01,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-8.7589,-4.2765,0.1645 
2010-01-02,-14.3430,-7.6137,0.1343 
2010-01-03,-16.9630,-7.3534,0.0476 
2010-01-04,-9.1632,-7.2662,0.8124 
2010-01-05,-9.7959,-5.6289,0.4275 
2010-01-06,-5.8889,-3.1355,0.2062 
2010-01-07,-6.0728,-3.6812,2.7602 
2010-01-08,-6.7184,-4.2613,2.6744 
2010-01-09,-12.8951,-6.4586,0.0413 
2010-01-10,-11.9960,-6.1002,0.0135 
2010-01-11,-12.6196,-5.6992,1.6143 
2010-01-12,-7.4289,-4.8472,0.5064 
2010-01-13,-9.7110,-2.4801,0.0034 
2010-01-14,-4.5755,1.0197,0.0061 
2010-01-15,-0.4043,2.1160,0.1481 
2010-01-16,-5.5693,0.1153,0.0133 
2010-01-17,-4.0243,-0.5262,6.8095e-04 
2010-01-18,-6.1339,-0.4356,0.0029 
2010-01-19,-3.6518,-0.2969,0.1447 
2010-01-20,-6.5547,-1.0989,0.0745 
2010-01-21,-6.4624,-0.3146,0.0076 
2010-01-22,-0.9566,0.6305,0.1423 
2010-01-23,-2.7816,1.1472,0.0539 
2010-01-24,1.4566,7.7737,6.8233 
2010-01-25,-0.2029,7.6605,1.7751 
2010-01-26,-4.7048,-0.2484,0.5546 
2010-01-27,-7.9023,-1.4206,0.1037 
2010-01-28,-10.9636,-4.2155,0.4039 
2010-01-29,-16.0658,-8.9764,0.0248 
2010-01-30,-11.8336,-8.1340,0.0765 
2010-01-31,-12.0230,-4.1702,0.1066 
2010-02-01,-10.5095,-4.3927,0.0757 
2010-02-02,-5.5258,-2.1724,0.8804 
2010-02-03,-3.9051,0.0076,0.9747 
2010-02-04,-6.3508,-0.4263,7.2772e-04 
2010-02-05,-3.2921,-0.5283,0.0448 
2010-02-06,-7.9796,-1.1633,0.1382 
2010-02-07,-7.1493,-2.6450,0.2267 
2010-02-08,-6.8449,-1.2190,0.0039 
2010-02-09,-6.6964,-1.9151,7.7172 
2010-02-10,-4.4291,-2.9663,9.4420 
2010-02-11,-7.4003,-3.3878,0.1554 
2010-02-12,-9.5622,-3.0842,0.1396 
2010-02-13,-8.0304,-3.5542,0.1775 
2010-02-14,-7.3050,-1.0060,0.0789 
2010-02-15,-7.5619,-2.0755,0.0231 
2010-02-16,-6.5086,-2.5973,1.1307 
2010-02-17,-5.6929,0.0380,0.3280 
2010-02-18,-4.7823,0.1502,0.0063 
2010-02-19,-6.3306,1.0718,0.0022 
2010-02-20,-5.8010,0.9392,9.3186e-05 
2010-02-21,-1.0200,2.5389,0.0061 
2010-02-22,-1.9287,0.7826,15.5696 
2010-02-23,-3.6470,-0.4812,0.9383 
2010-02-24,-3.9178,-0.8869,3.0346 
2010-02-25,-6.3726,-1.6070,2.3286 
2010-02-26,-6.6835,-3.0549,6.9550 
2010-02-27,-2.9692,0.0300,3.5577 
2010-02-28,-2.4165,1.4987,0.3361 
2010-03-01,-4.0154,0.6327,0.0181 
2010-03-02,-5.8270,0.3961,0.0237 
2010-03-03,-7.1014,0.8767,0.0757 
2010-03-04,-6.0661,1.0179,0.0012 
2010-03-05,-6.9095,1.6940,3.2880e-04 
2010-03-06,-2.3721,4.4847,4.2091e-04 
2010-03-07,-1.4031,6.7523,3.8145e-06 
2010-03-08,0.4427,9.6200,1.4922e-04 
2010-03-09,3.7727,11.5472,1.1616e-06 
2010-03-10,5.1024,13.5989,0.4943 
2010-03-11,6.3452,16.1791,0.0246 
2010-03-12,9.4835,15.6036,7.0600 
2010-03-13,4.6926,12.9436,7.3148 
2010-03-14,2.9398,5.0539,6.1971 
2010-03-15,3.0087,11.2482,0.1986 
2010-03-16,3.1886,14.5224,2.0438e-06 
2010-03-17,6.8661,15.6571,0.0000 
2010-03-18,5.7999,17.1708,0.0000 
