Meteorological forcing data for the Large Basin Runoff Model.      
stc, 01,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-7.5553,-4.7639,0.4404 
2010-01-02,-13.1705,-8.0985,0.2708 
2010-01-03,-14.9822,-7.1039,1.1576 
2010-01-04,-8.3557,-5.5477,3.5337 
2010-01-05,-8.3272,-5.0338,1.4387 
2010-01-06,-5.6721,-3.6907,0.1487 
2010-01-07,-7.1451,-2.6037,1.7259 
2010-01-08,-5.9208,-3.8189,6.0033 
2010-01-09,-8.6446,-4.9954,0.5087 
2010-01-10,-11.7923,-4.4020,0.0147 
2010-01-11,-10.9766,-6.0890,1.7475 
2010-01-12,-7.4736,-3.8966,0.5547 
2010-01-13,-8.7027,-0.7179,0.0118 
2010-01-14,-4.0913,3.4673,0.0277 
2010-01-15,-1.1451,2.4828,0.1342 
2010-01-16,-5.8931,0.0570,0.0110 
2010-01-17,-5.4273,0.5809,4.2318e-05 
2010-01-18,-6.5381,0.3233,0.0032 
2010-01-19,-3.9340,-0.0266,0.5272 
2010-01-20,-6.6557,-1.4715,0.2737 
2010-01-21,-8.5701,-0.2213,0.0030 
2010-01-22,-3.1798,1.2776,0.0127 
2010-01-23,-4.3214,2.1972,0.0315 
2010-01-24,1.1377,5.1398,4.2811 
2010-01-25,-0.6154,5.2545,3.4852 
2010-01-26,-3.4443,0.4332,1.3526 
2010-01-27,-6.8039,-1.2099,0.2275 
2010-01-28,-11.1084,-4.7496,0.6782 
2010-01-29,-16.4060,-9.6510,0.0345 
2010-01-30,-13.9122,-8.0094,0.0473 
2010-01-31,-12.0391,-4.1290,0.2843 
2010-02-01,-12.6133,-4.4995,0.0734 
2010-02-02,-6.1703,-2.9608,1.2728 
2010-02-03,-5.2169,-1.3096,0.9346 
2010-02-04,-7.1250,0.1657,0.0129 
2010-02-05,-3.7632,-0.1639,0.0000 
2010-02-06,-8.6659,-0.9157,0.0096 
2010-02-07,-6.8400,-3.5556,0.2784 
2010-02-08,-7.8805,-1.7977,1.3090e-04 
2010-02-09,-6.8336,-3.9035,3.9042 
2010-02-10,-4.6149,-2.8013,9.3883 
2010-02-11,-6.3032,-4.3558,0.7533 
