Meteorological forcing data for the Large Basin Runoff Model.      
stc, 02,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-7.1480,-3.9896,0.1228 
2010-01-02,-12.3684,-7.2379,0.1005 
2010-01-03,-15.0787,-7.0269,0.2126 
2010-01-04,-8.0146,-5.2205,1.0523 
2010-01-05,-8.5698,-4.6045,0.5959 
2010-01-06,-5.5619,-3.0581,0.0900 
2010-01-07,-5.5766,-2.9989,1.4449 
2010-01-08,-5.5470,-3.4796,4.7267 
2010-01-09,-8.9824,-4.4262,0.3312 
2010-01-10,-10.1966,-4.9429,0.0096 
2010-01-11,-10.2885,-5.7729,1.5676 
2010-01-12,-7.2313,-3.2927,0.6257 
2010-01-13,-8.1243,-2.1077,0.0046 
2010-01-14,-3.2262,1.0274,0.0014 
2010-01-15,-0.3038,2.1436,0.0645 
2010-01-16,-4.2914,-0.0064,0.0114 
2010-01-17,-3.2446,1.0057,0.0000 
2010-01-18,-5.4826,0.1627,5.6806e-06 
2010-01-19,-2.8819,0.4573,0.2036 
2010-01-20,-6.4445,-0.9626,0.1001 
2010-01-21,-8.7341,0.3254,0.0013 
2010-01-22,-1.9285,1.8366,0.0388 
2010-01-23,-3.4708,1.3244,0.0695 
2010-01-24,1.2928,5.3422,6.9604 
2010-01-25,0.4107,6.3056,3.9529 
2010-01-26,-3.5103,0.4135,1.0366 
2010-01-27,-6.6639,-0.2598,0.1484 
2010-01-28,-10.7423,-4.0109,0.3901 
2010-01-29,-14.9488,-8.7055,0.0017 
2010-01-30,-13.0736,-8.3843,0.0507 
2010-01-31,-10.7907,-3.6716,0.0588 
2010-02-01,-10.3074,-4.0934,0.0419 
2010-02-02,-5.0609,-2.7036,1.0291 
2010-02-03,-4.4422,-0.4316,1.2034 
2010-02-04,-5.7632,-0.2352,0.0173 
2010-02-05,-3.2322,0.1042,1.0177e-04 
2010-02-06,-8.8267,-1.0245,5.6473e-04 
2010-02-07,-9.0725,-3.0420,0.2657 
2010-02-08,-7.9075,-0.9004,9.6395e-06 
2010-02-09,-8.7674,-2.6653,5.0607 
2010-02-10,-3.8251,-2.0615,12.1267 
2010-02-11,-6.1452,-3.5150,0.7079 
2010-02-12,-9.7791,-2.8638,0.0398 
2010-02-13,-7.0047,-3.3061,0.1311 
2010-02-14,-7.8092,-0.8184,0.0493 
2010-02-15,-6.1889,-1.3507,0.0960 
2010-02-16,-5.5277,-2.0841,2.2716 
2010-02-17,-5.1646,0.1588,0.1427 
2010-02-18,-4.5557,0.1074,0.0055 
2010-02-19,-6.3644,1.3774,5.1210e-07 
2010-02-20,-6.6755,1.0965,9.3777e-04 
2010-02-21,-1.2745,2.8336,0.0393 
2010-02-22,-2.8854,0.9920,13.6951 
2010-02-23,-2.7309,-0.0898,0.3027 
2010-02-24,-2.9737,0.1442,0.5076 
2010-02-25,-5.6362,-1.3129,1.3758 
2010-02-26,-6.0296,-1.6582,4.2615 
2010-02-27,-1.5351,0.3566,3.0233 
2010-02-28,-2.0846,2.8461,0.3654 
2010-03-01,-3.4946,0.9964,0.0110 
2010-03-02,-5.7392,0.6978,0.0167 
2010-03-03,-6.1692,2.1140,0.0195 
2010-03-04,-4.4000,1.3940,0.0000 
2010-03-05,-5.7143,2.4900,0.0000 
2010-03-06,-3.6723,6.2699,0.0000 
2010-03-07,-1.9374,7.9328,0.0000 
2010-03-08,-0.1145,10.6821,1.8718e-07 
2010-03-09,3.7324,10.7948,0.0011 
2010-03-10,3.4141,11.2460,0.2752 
2010-03-11,4.9301,15.5263,0.0509 
2010-03-12,7.0236,14.3799,4.7762 
2010-03-13,3.6880,12.3467,9.6126 
2010-03-14,2.8290,5.8449,8.2827 
2010-03-15,2.5119,9.5032,0.4515 
2010-03-16,1.7435,13.4481,1.3572e-05 
2010-03-17,4.7813,14.8610,0.0000 
2010-03-18,5.6142,17.2568,0.0000 
2010-03-19,6.3786,18.1105,0.0014 
2010-03-20,0.0948,16.5500,0.1215 
2010-03-21,-1.8112,6.7773,0.2651 
2010-03-22,0.1210,6.1613,2.5636 
2010-03-23,2.3492,9.6262,0.2157 
2010-03-24,0.9292,12.8665,0.0000 
2010-03-25,-0.8979,12.2161,0.8202 
2010-03-26,-5.2763,0.1279,0.0014 
2010-03-27,-3.8275,5.5466,0.0718 
2010-03-28,3.1787,6.3736,7.9477 
2010-03-29,1.9659,7.1145,0.9020 
2010-03-30,-1.4655,10.6910,0.0013 
2010-03-31,4.4957,17.2460,0.0058 
2010-04-01,11.4303,23.7294,0.0069 
2010-04-02,12.4203,24.7077,0.0000 
2010-04-03,11.8183,23.9895,0.4399 
2010-04-04,7.1137,18.8407,0.0346 
2010-04-05,9.5258,21.5213,2.3356 
2010-04-06,8.4763,24.1237,12.5931 
2010-04-07,9.4213,23.8039,10.9760 
2010-04-08,7.1828,14.2232,11.8374 
2010-04-09,-1.0637,6.3551,0.0102 
2010-04-10,0.9365,17.6692,0.0000 
2010-04-11,8.0369,17.6480,0.7519 
2010-04-12,5.8484,15.0748,0.0000 
2010-04-13,5.0903,13.2734,0.7152 
2010-04-14,5.9315,16.1777,0.3443 
2010-04-15,10.0865,27.8044,1.1779e-04 
2010-04-16,15.6677,26.4591,0.0000 
2010-04-17,3.6259,13.7883,0.0027 
2010-04-18,3.5025,10.7767,0.0152 
2010-04-19,1.6484,12.8649,0.0000 
2010-04-20,5.2372,14.5805,0.0000 
2010-04-21,7.6087,16.8920,0.0290 
2010-04-22,1.7838,10.4750,0.0099 
2010-04-23,1.6980,14.1472,0.0171 
2010-04-24,6.9948,14.7691,0.5274 
2010-04-25,10.5848,14.7025,16.5951 
2010-04-26,8.5835,13.4497,0.4507 
2010-04-27,2.2754,10.0401,3.7781e-08 
2010-04-28,1.9974,12.8947,0.0000 
2010-04-29,7.7595,16.0245,0.5777 
2010-04-30,11.6019,24.3426,0.0611 
2010-05-01,17.9866,23.8516,3.6659 
2010-05-02,16.4488,20.6920,9.7702 
2010-05-03,13.4291,20.8184,14.4805 
2010-05-04,13.1155,20.9777,0.1009 
2010-05-05,15.0671,23.3023,3.6994 
2010-05-06,9.4291,18.1548,0.0229 
2010-05-07,7.6957,15.1915,14.1355 
2010-05-08,5.1202,14.9680,11.0243 
2010-05-09,-0.2782,9.8023,0.0690 
2010-05-10,1.1144,11.2329,0.0019 
2010-05-11,5.7536,10.1012,26.7358 
2010-05-12,5.7494,13.2658,2.7370 
2010-05-13,5.7112,14.1246,10.8825 
2010-05-14,11.9286,18.9856,0.4872 
2010-05-15,8.3050,16.2909,7.1207e-04 
2010-05-16,7.9353,16.1376,5.6702e-05 
2010-05-17,9.8262,17.0119,0.4404 
2010-05-18,9.9806,15.8940,7.4731 
2010-05-19,8.6908,21.5422,0.0424 
2010-05-20,16.5491,25.3760,0.0203 
2010-05-21,16.3314,24.4230,0.4634 
2010-05-22,15.5299,22.2883,1.8844 
2010-05-23,15.4830,24.1992,0.0208 
2010-05-24,16.8625,26.1754,0.0028 
2010-05-25,18.3462,25.8339,0.0088 
2010-05-26,20.7939,28.0479,0.0000 
2010-05-27,23.2057,27.8060,6.7541e-04 
2010-05-28,17.3497,25.2862,1.3508e-04 
2010-05-29,17.4470,25.6559,0.0000 
2010-05-30,16.3872,27.2893,0.0000 
2010-05-31,19.3833,29.1703,7.0965 
2010-06-01,16.5375,25.4278,1.7274 
2010-06-02,18.7683,25.2661,14.9486 
2010-06-03,13.1214,23.3742,1.4506 
2010-06-04,13.0866,23.7367,1.0313 
2010-06-05,17.9842,25.2401,2.5559 
2010-06-06,14.0011,23.0715,41.4767 
2010-06-07,9.2756,17.8666,0.4657 
2010-06-08,11.4877,18.7775,0.1101 
2010-06-09,12.6623,25.3491,8.0478 
2010-06-10,14.5570,23.5321,0.1274 
2010-06-11,14.6276,24.9176,0.4702 
2010-06-12,20.7714,28.5316,0.6210 
2010-06-13,15.9412,22.5388,0.3405 
2010-06-14,16.4570,23.3407,0.3263 
2010-06-15,16.6275,23.3008,0.2026 
2010-06-16,18.7562,24.3246,3.1078 
2010-06-17,13.8082,22.3257,0.0047 
2010-06-18,17.4460,27.9608,0.0324 
2010-06-19,22.0347,27.9053,0.7276 
2010-06-20,17.3143,26.9599,0.0015 
2010-06-21,17.1683,25.7958,0.0014 
2010-06-22,18.7143,28.3547,7.8736 
2010-06-23,22.3496,30.7450,1.9096 
2010-06-24,18.7716,30.6542,4.0283 
2010-06-25,15.3351,25.3844,0.0110 
2010-06-26,19.3368,27.8169,0.0993 
2010-06-27,17.6713,28.9645,1.9098 
2010-06-28,20.9309,26.8861,0.6513 
2010-06-29,12.5233,24.5261,4.5097e-04 
2010-06-30,10.3661,19.8295,0.0109 
2010-07-01,11.4729,20.0454,0.0148 
2010-07-02,14.4796,22.9402,0.0170 
2010-07-03,18.4852,27.0431,0.0126 
2010-07-04,21.7953,31.9501,0.0282 
2010-07-05,24.4184,32.1895,0.0119 
2010-07-06,25.0033,32.6354,0.0223 
2010-07-07,26.0587,32.3511,0.2687 
2010-07-08,25.4517,31.7514,3.8496 
2010-07-09,21.4502,29.5492,3.0877 
2010-07-10,20.7527,26.3759,0.1054 
2010-07-11,22.4498,28.3675,0.5869 
2010-07-12,19.2364,28.1898,25.1598 
2010-07-13,17.4172,25.8426,0.4265 
2010-07-14,18.5558,27.5800,0.0027 
2010-07-15,22.8459,30.5706,0.6690 
2010-07-16,21.1469,28.0326,21.6490 
2010-07-17,22.9593,29.1152,2.2342 
2010-07-18,20.5957,30.9994,0.6917 
2010-07-19,20.8809,30.4497,1.3812 
2010-07-20,19.1507,25.5644,2.1681 
2010-07-21,19.5619,27.0348,0.0739 
2010-07-22,20.8029,26.3833,0.1079 
2010-07-23,18.0554,31.2764,7.4453 
2010-07-24,22.4098,31.0016,4.4651 
2010-07-25,19.8914,29.1582,4.8155 
2010-07-26,19.2456,26.1415,0.0766 
2010-07-27,22.1590,26.4932,0.0030 
2010-07-28,21.9768,29.7534,6.4907 
2010-07-29,16.1231,24.9428,0.0131 
2010-07-30,18.5839,24.5573,0.0139 
2010-07-31,18.7713,24.6678,0.0233 
2010-08-01,19.2071,25.9538,6.1022e-04 
2010-08-02,21.9662,26.6752,0.0338 
2010-08-03,23.2583,29.0335,2.1265e-04 
2010-08-04,24.3924,28.9338,0.1485 
2010-08-05,22.0259,28.5062,0.3391 
2010-08-06,17.1715,25.1487,0.0880 
2010-08-07,16.8551,23.0617,0.0064 
2010-08-08,21.1036,29.6968,0.0027 
2010-08-09,21.5556,29.6158,1.3813 
2010-08-10,21.7840,28.3336,0.0313 
2010-08-11,20.0682,28.2282,0.0040 
2010-08-12,19.6058,28.2300,9.8544 
2010-08-13,20.6218,28.3520,0.0161 
2010-08-14,23.5331,31.3485,0.8954 
2010-08-15,21.7941,30.8495,1.1799 
2010-08-16,18.7833,26.3655,0.1326 
2010-08-17,18.9340,26.0436,0.0095 
2010-08-18,18.2138,24.8397,0.1936 
2010-08-19,20.6866,27.9180,0.9261 
2010-08-20,17.4698,25.4614,1.5303 
2010-08-21,20.0900,27.5885,5.5207 
2010-08-22,19.2319,22.4307,0.8352 
2010-08-23,18.9200,23.3477,0.0641 
2010-08-24,15.5415,23.3949,0.2210 
2010-08-25,18.9753,23.9905,0.3491 
2010-08-26,13.0947,23.2861,0.0265 
2010-08-27,15.9554,24.0336,0.0127 
2010-08-28,19.5944,25.4106,0.0150 
2010-08-29,19.7975,29.5643,0.0324 
2010-08-30,23.7550,31.0091,0.0584 
2010-08-31,24.7055,30.4661,0.1734 
2010-09-01,23.5160,30.3395,0.1034 
2010-09-02,21.0466,26.4486,0.7585 
2010-09-03,17.8056,25.0654,5.7719 
2010-09-04,12.5004,18.8940,0.1406 
2010-09-05,11.5073,19.3288,0.0515 
2010-09-06,18.0331,25.3467,0.7401 
2010-09-07,20.2006,27.5957,0.0799 
2010-09-08,14.2831,23.0985,0.0000 
2010-09-09,10.0776,17.7769,0.0117 
2010-09-10,10.4345,19.0405,0.2962 
2010-09-11,13.0005,19.4759,5.7860 
2010-09-12,11.3079,21.6304,3.9699 
2010-09-13,15.2618,23.4033,1.3379 
2010-09-14,12.7626,20.7414,6.0424e-06 
2010-09-15,10.6456,18.4394,6.1244e-04 
2010-09-16,13.8730,21.8435,22.1656 
2010-09-17,10.3322,16.0128,0.3826 
2010-09-18,14.7094,21.6225,2.5581 
2010-09-19,10.7950,18.3443,0.0747 
2010-09-20,10.5162,18.3935,0.0025 
2010-09-21,14.7948,28.8013,5.2646e-04 
2010-09-22,18.2272,28.5021,7.9007 
2010-09-23,13.7247,27.6179,0.0186 
2010-09-24,23.2098,27.3620,2.1353e-04 
2010-09-25,12.1405,21.3387,0.0000 
2010-09-26,7.2664,14.0440,0.0200 
2010-09-27,10.3557,15.6768,1.3249 
2010-09-28,12.3471,13.5297,49.8273 
2010-09-29,11.8727,17.3427,0.2450 
2010-09-30,15.1661,18.8551,0.0130 
2010-10-01,8.3192,15.6407,0.0100 
2010-10-02,7.7356,12.7159,19.3552 
2010-10-03,6.1131,10.5396,2.9407 
2010-10-04,5.0788,12.3253,0.0323 
2010-10-05,7.7285,15.5279,0.0000 
2010-10-06,8.3437,17.9397,1.4837e-04 
2010-10-07,9.3879,18.6114,1.4242e-04 
2010-10-08,11.2245,23.6571,0.0000 
2010-10-09,12.9909,21.2556,0.0156 
2010-10-10,12.7077,23.3316,0.0031 
2010-10-11,13.9029,21.0494,0.5869 
2010-10-12,7.9935,14.3138,0.0446 
2010-10-13,9.1822,15.1630,2.0516 
2010-10-14,8.0801,14.2007,18.4882 
2010-10-15,6.5427,13.4477,0.5042 
2010-10-16,6.0371,15.0333,3.6296e-06 
2010-10-17,7.7176,14.1871,0.0011 
2010-10-18,7.0979,11.8109,3.2472e-04 
2010-10-19,4.4049,12.2644,0.0058 
2010-10-20,7.7963,16.1058,0.0969 
2010-10-21,4.2453,14.7135,11.2139 
2010-10-22,1.8238,11.4873,0.0803 
2010-10-23,9.1834,18.3760,1.0380 
2010-10-24,13.7720,20.3238,0.8789 
2010-10-25,15.5399,19.9982,0.4140 
2010-10-26,12.9553,20.5194,4.1788 
2010-10-27,11.8061,16.3145,0.1895 
2010-10-28,7.2956,15.2501,0.0450 
2010-10-29,3.3170,9.5027,0.0000 
2010-10-30,5.1913,11.7590,0.0000 
2010-10-31,1.0187,10.9044,9.3665e-04 
2010-11-01,0.4462,6.5004,0.0122 
2010-11-02,2.3009,7.1667,0.0177 
2010-11-03,1.6719,7.8907,0.5927 
2010-11-04,1.3401,8.1297,1.7125 
2010-11-05,2.1067,5.7735,5.2340 
2010-11-06,-2.5271,4.8038,0.4095 
2010-11-07,0.8091,8.2806,0.1062 
2010-11-08,4.9384,11.8087,6.5773e-04 
2010-11-09,4.9736,11.1480,0.0000 
2010-11-10,3.4695,11.8674,0.2621 
2010-11-11,3.5309,11.3210,0.0036 
2010-11-12,6.5635,13.3030,0.1579 
2010-11-13,6.0300,13.5786,0.0440 
2010-11-14,4.4239,12.5171,2.0579 
2010-11-15,2.5521,8.1088,0.0110 
2010-11-16,4.0573,10.1715,0.7419 
2010-11-17,5.6954,10.4473,19.4545 
2010-11-18,1.3437,8.3386,0.0174 
2010-11-19,0.0030,6.5154,0.0129 
2010-11-20,1.7324,7.7484,1.0235e-04 
2010-11-21,-0.8622,11.7443,0.0583 
2010-11-22,11.9737,15.0138,9.0833 
2010-11-23,-0.1689,15.4449,7.1741 
2010-11-24,-3.7597,2.6780,0.0463 
2010-11-25,2.6782,9.6271,12.4817 
2010-11-26,-5.2471,8.1966,11.0380 
2010-11-27,-2.5227,2.4983,0.0404 
2010-11-28,-3.3047,1.7528,5.4500e-06 
2010-11-29,1.3986,5.6160,0.0000 
2010-11-30,5.2831,11.5914,14.8236 
2010-12-01,-2.9475,7.9056,2.3389 
2010-12-02,-2.7273,-0.9848,0.2568 
2010-12-03,-4.3392,0.2078,0.1728 
2010-12-04,-4.9028,0.0757,0.3665 
2010-12-05,-6.0286,-1.8351,0.1499 
2010-12-06,-4.3181,-2.6197,0.1497 
2010-12-07,-6.0403,-3.6672,0.0699 
2010-12-08,-7.1920,-3.7251,0.6741 
2010-12-09,-9.6917,-3.5417,0.1287 
2010-12-10,-3.3329,3.0887,1.8691 
2010-12-11,-1.0012,2.6224,0.0660 
2010-12-12,-0.4670,2.4424,22.0224 
2010-12-13,-9.0031,-1.4096,3.4506 
2010-12-14,-11.4086,-7.3373,0.3905 
2010-12-15,-10.4023,-4.5954,0.0635 
2010-12-16,-10.3826,-4.9862,0.0014 
2010-12-17,-7.6018,-2.7273,0.0288 
2010-12-18,-8.9220,-3.2577,0.2211 
2010-12-19,-8.3019,-3.3749,0.5689 
2010-12-20,-6.3700,-1.2987,0.2146 
2010-12-21,-4.6379,-2.5564,4.5492e-04 
2010-12-22,-4.8877,-0.5905,0.4329 
2010-12-23,-4.1439,-1.3015,0.0161 
2010-12-24,-5.6814,-1.7230,0.1985 
2010-12-25,-3.7772,-2.8148,0.4651 
2010-12-26,-5.8969,-3.1394,0.4394 
2010-12-27,-5.9737,-3.2367,0.2963 
2010-12-28,-6.9101,-1.7583,0.0540 
2010-12-29,-7.1312,-1.8546,0.0010 
2010-12-30,-3.0917,2.6104,0.8304 
2010-12-31,2.4725,7.2297,1.8407 
2011-01-01,0.1476,9.7495,10.2379 
2011-01-02,-7.8816,-1.1720,0.1713 
2011-01-03,-8.0084,-1.2641,0.0646 
2011-01-04,-2.8247,0.5711,1.8631 
2011-01-05,-9.0930,-2.2078,1.1886 
2011-01-06,-5.7066,-2.1824,2.5224 
2011-01-07,-10.2676,-3.4842,1.3477 
2011-01-08,-9.4445,-4.6225,1.4012 
2011-01-09,-10.9856,-3.8610,0.5016 
2011-01-10,-9.6184,-3.9832,0.0000 
2011-01-11,-9.4966,-4.6738,6.2264 
2011-01-12,-5.7765,-4.2303,7.4649 
2011-01-13,-10.7277,-5.1373,0.6340 
2011-01-14,-7.8725,-5.8778,1.1373 
2011-01-15,-6.7762,-2.7115,4.0040 
2011-01-16,-12.6483,-2.9259,0.0633 
2011-01-17,-13.3297,-5.0133,0.0683 
2011-01-18,-4.2717,2.2511,5.2394 
2011-01-19,-5.8533,-0.9073,0.3595 
2011-01-20,-9.8858,-5.9699,0.4905 
2011-01-21,-11.5681,-6.0405,0.7930 
2011-01-22,-14.6582,-10.6208,1.5020 
2011-01-23,-13.0228,-9.2298,1.6734 
2011-01-24,-15.1880,-6.1019,1.2878 
2011-01-25,-5.5541,-1.2198,0.4024 
2011-01-26,-3.8948,-0.7441,0.0768 
2011-01-27,-5.4243,-1.5860,2.2495 
2011-01-28,-5.9675,-1.1636,2.1401 
2011-01-29,-5.9660,-2.6749,7.2514 
2011-01-30,-7.8086,-4.0273,0.1499 
2011-01-31,-12.5283,-7.3722,0.0477 
2011-02-01,-10.9796,-7.2334,0.4719 
2011-02-02,-8.7309,-2.5599,19.1167 
2011-02-03,-12.0023,-5.9319,0.0357 
2011-02-04,-12.6669,-6.7943,3.8812e-04 
2011-02-05,-11.8880,-3.9036,4.0037 
2011-02-06,-10.6791,-3.4034,0.8336 
2011-02-07,-3.4476,-1.1240,1.2398 
2011-02-08,-12.3823,-3.2381,0.0985 
2011-02-09,-12.4478,-7.2473,0.0682 
2011-02-10,-17.0916,-8.1940,0.0881 
2011-02-11,-17.2410,-7.1297,0.1022 
2011-02-12,-7.2157,-2.0569,0.0832 
2011-02-13,-3.6102,3.5311,2.3392 
2011-02-14,-0.9883,3.2620,0.0076 
2011-02-15,-8.5312,-1.9102,3.9977e-07 
2011-02-16,-5.2886,3.2760,0.1201 
2011-02-17,1.7820,8.4567,0.0393 
2011-02-18,4.1388,12.2644,0.0374 
2011-02-19,-5.0018,2.8607,2.3352e-05 
2011-02-20,-6.3653,-1.0139,3.6324 
2011-02-21,-7.3242,-2.3935,24.3948 
2011-02-22,-12.9338,-6.3915,8.3094e-06 
2011-02-23,-9.1145,-5.1363,0.0291 
2011-02-24,-6.1034,1.6499,2.2418 
2011-02-25,-4.3130,-0.4713,4.8923 
2011-02-26,-6.5253,-1.2092,2.6516 
2011-02-27,-3.4586,1.2599,1.2480 
2011-02-28,-1.4554,2.0765,14.0729 
2011-03-01,-7.4883,0.6189,0.0031 
2011-03-02,-5.1158,2.3236,0.0026 
2011-03-03,-11.3987,-3.8110,0.0322 
2011-03-04,-3.8781,5.2374,1.4035 
2011-03-05,-0.6287,7.7816,19.6345 
2011-03-06,-5.2987,-1.1494,3.9344 
2011-03-07,-10.9005,-1.0769,4.0145e-04 
2011-03-08,-5.4524,1.6462,0.0000 
2011-03-09,0.7445,5.8435,16.6175 
2011-03-10,1.5767,7.3729,6.7849 
2011-03-11,-0.2838,3.3350,10.2602 
2011-03-12,-2.3439,4.5139,0.0733 
2011-03-13,-0.4708,2.3018,0.1487 
2011-03-14,-5.7932,0.6490,0.1758 
2011-03-15,-3.9968,4.1418,0.6871 
2011-03-16,3.5409,11.0946,4.2406 
2011-03-17,4.6760,14.3000,0.0020 
2011-03-18,7.1407,16.1476,1.0398e-04 
2011-03-19,-2.6910,8.5070,0.0000 
2011-03-20,-3.9654,7.6315,0.5733 
