Meteorological forcing data for the Large Basin Runoff Model.      
eri, 11,   <- lake basin, subbasin            
yyyy-mm-dd, Tmin(C), Tmax(C), Prec(mm)                             
2010-01-01,-6.9284,-4.3393,0.6785 
2010-01-02,-10.6379,-5.9256,1.0298 
2010-01-03,-11.6935,-7.6964,1.7507 
2010-01-04,-7.4543,-5.8923,2.7751 
2010-01-05,-6.5738,-5.1823,2.5243 
2010-01-06,-5.7309,-3.2789,2.0178 
2010-01-07,-5.5688,-3.7181,2.5528 
2010-01-08,-8.2765,-4.8887,5.7861 
2010-01-09,-8.0717,-5.3915,0.6082 
2010-01-10,-9.7892,-6.0930,0.3542 
2010-01-11,-10.3439,-6.1065,1.8116 
2010-01-12,-7.1674,-4.4255,1.2518 
2010-01-13,-9.4870,-0.6956,0.2082 
2010-01-14,-5.2544,3.3903,9.8431e-06 
2010-01-15,0.3329,1.6820,0.1469 
2010-01-16,-0.1299,2.8492,0.0539 
2010-01-17,1.0741,3.8197,0.4481 
2010-01-18,-3.4511,2.8662,0.0636 
2010-01-19,-2.8318,-0.8884,0.2361 
2010-01-20,-3.9036,-0.8630,0.1274 
2010-01-21,-6.6977,3.5779,0.0029 
2010-01-22,0.4750,3.5331,1.9110 
2010-01-23,-2.1524,6.1380,0.0538 
2010-01-24,2.8248,7.6115,10.4556 
2010-01-25,1.0197,8.3567,12.2979 
2010-01-26,-4.9811,1.0956,7.3669 
2010-01-27,-9.0046,-3.2276,0.7013 
2010-01-28,-10.4792,-2.1234,3.1542 
2010-01-29,-13.3948,-9.7721,0.2079 
2010-01-30,-12.2222,-8.0782,0.0361 
2010-01-31,-11.9834,-4.5897,0.0022 
2010-02-01,-9.0229,-4.2159,0.1167 
2010-02-02,-6.2681,-0.0711,0.1148 
2010-02-03,-3.0181,-0.7209,1.5464 
2010-02-04,-5.4404,1.0887,0.1534 
2010-02-05,-3.0747,0.7775,0.5437 
2010-02-06,-6.1049,0.0101,4.4618 
2010-02-07,-8.2788,-4.8148,0.2835 
2010-02-08,-7.4869,-3.3346,0.0190 
2010-02-09,-6.5304,-0.3864,6.7182 
2010-02-10,-9.1428,0.6171,10.4128 
2010-02-11,-5.6696,-3.5347,2.2786 
2010-02-12,-6.4245,-3.7949,1.0528 
2010-02-13,-7.5250,-4.0653,1.2379 
2010-02-14,-5.3468,-2.9548,1.6522 
2010-02-15,-8.8044,-0.8710,0.5645 
2010-02-16,-6.8517,-3.0407,6.2579 
2010-02-17,-5.0247,-1.8368,1.6396 
2010-02-18,-2.2383,-1.1810,0.5539 
2010-02-19,-5.4873,-0.2595,0.0886 
2010-02-20,-5.9520,0.3717,8.9691e-04 
2010-02-21,-2.6325,2.8862,0.0033 
2010-02-22,0.0440,2.9609,6.6138 
2010-02-23,-2.3428,1.7013,0.4657 
2010-02-24,-4.2779,0.2943,1.0536 
2010-02-25,-6.0447,-1.2052,2.3574 
2010-02-26,-6.9067,-4.1207,5.5093 
2010-02-27,-4.0503,-0.0772,6.2102 
2010-02-28,-1.6400,0.6340,2.3491 
2010-03-01,-1.8121,0.4932,0.4274 
2010-03-02,-5.7450,0.1659,0.1335 
2010-03-03,-7.1456,-0.3954,0.0914 
2010-03-04,-7.3000,-0.4798,0.0470 
2010-03-05,-8.1549,-0.2436,0.0021 
2010-03-06,-8.9153,0.4415,0.0141 
2010-03-07,-2.2012,4.1956,0.0026 
2010-03-08,0.4587,5.3210,1.5280e-05 
2010-03-09,2.9019,9.2353,0.0010 
2010-03-10,3.5791,13.0237,0.4134 
2010-03-11,8.3685,14.5281,0.0012 
2010-03-12,7.9760,14.4548,0.4755 
2010-03-13,3.5593,9.8945,5.1382 
2010-03-14,1.8769,6.0083,9.4684 
2010-03-15,1.0274,3.7931,0.3843 
2010-03-16,2.2159,9.1884,0.0254 
2010-03-17,5.6509,11.4601,0.0000 
2010-03-18,6.0499,14.6295,1.6193e-05 
2010-03-19,5.7172,16.0964,4.4624e-06 
2010-03-20,6.9857,14.9995,0.0043 
2010-03-21,0.0165,11.1592,0.0579 
2010-03-22,4.0965,8.3611,11.2626 
2010-03-23,1.9277,6.3190,10.1456 
2010-03-24,1.7851,10.5354,1.6076e-05 
2010-03-25,1.2865,9.0656,11.4755 
2010-03-26,-4.0861,0.4505,3.6810 
2010-03-27,-6.3911,9.7720,7.0335e-04 
2010-03-28,4.8166,9.9832,6.4453 
