gaugeID,Lat,Lon,Row_Lon,Col_Lat,Area/m2 
02GA010,43.174236,-80.539978,29,14,4.0242635604e+07
02GA010,43.292080,-80.459106,30,14,1.5490107070e+08
02GA010,43.409813,-80.377808,31,14,863996.4588349015
02GA010,43.235523,-80.708862,29,15,5.5141967596e+06
02GA010,43.353554,-80.628174,30,15,2.1612357811e+08
02GA010,43.471497,-80.547028,31,15,3.0069728167e+07
02GA010,43.414787,-80.797546,30,16,1.5589212410e+08
02GA010,43.532928,-80.716644,31,16,1.1858877076e+08
02GA010,43.650974,-80.635284,32,16,4.4354863234e+06
02GA010,43.475765,-80.967316,30,17,4.1300002880e+07
02GA010,43.594112,-80.886566,31,17,1.3659056856e+08
02GA010,43.712357,-80.805420,32,17,7.9139222719e+07
02GA018,43.353554,-80.628174,30,15,1.6011902574e+07
02GA018,43.471497,-80.547028,31,15,7.4826554753e+06
02GA018,43.414787,-80.797546,30,16,1.4021047527e+08
02GA018,43.532928,-80.716644,31,16,1.1858877076e+08
02GA018,43.650974,-80.635284,32,16,4.4354863234e+06
02GA018,43.475765,-80.967316,30,17,4.1300002880e+07
02GA018,43.594112,-80.886566,31,17,1.3659056856e+08
02GA018,43.712357,-80.805420,32,17,7.9139222719e+07
02GA038,43.414787,-80.797546,30,16,8.8731193074e+06
02GA038,43.532928,-80.716644,31,16,5.2686453882e+07
02GA038,43.650974,-80.635284,32,16,4.4354863234e+06
02GA038,43.475765,-80.967316,30,17,4.0898081249e+07
02GA038,43.594112,-80.886566,31,17,1.3659056856e+08
02GA038,43.712357,-80.805420,32,17,7.9139222719e+07
02GA047,43.347881,-80.208893,31,13,4.7984198856e+06
02GA047,43.465313,-80.126984,32,13,3.5871948437e+07
02GA047,43.582634,-80.044617,33,13,7.8479505636e+07
02GA047,43.699871,-79.961853,34,13,5.7967806006e+06
02GA047,43.409813,-80.377808,31,14,4.0825387948e+07
02GA047,43.527451,-80.296051,32,14,1.8491680059e+08
02GA047,43.644981,-80.213898,33,14,2.1998255027e+08
02GA047,43.762413,-80.131287,34,14,1.2822051993e+08
02GA047,43.707073,-80.383514,33,15,3.0041622827e+07
02GA047,43.824718,-80.301117,34,15,3.7840486711e+07
02GB001,43.050949,-80.203278,29,12,164468.8939891036
02GB001,42.994995,-80.452087,28,13,23910.9378003180
02GB001,43.112717,-80.371460,29,13,1.6785127244e+08
02GB001,43.230343,-80.290375,30,13,8.8423433308e+07
02GB001,43.347881,-80.208893,31,13,5.2792529325e+07
02GB001,43.465313,-80.126984,32,13,1.1586224947e+08
02GB001,43.582634,-80.044617,33,13,8.0919165635e+07
02GB001,43.699871,-79.961853,34,13,5.7967806006e+06
02GB001,43.056316,-80.620422,28,14,125103.5444881320
02GB001,43.174236,-80.539978,29,14,2.0002652695e+08
02GB001,43.292080,-80.459106,30,14,2.2396041126e+08
02GB001,43.409813,-80.377808,31,14,2.2396897088e+08
02GB001,43.527451,-80.296051,32,14,2.2394400108e+08
02GB001,43.644981,-80.213898,33,14,2.2399019737e+08
02GB001,43.762413,-80.131287,34,14,1.2822051993e+08
02GB001,43.235523,-80.708862,29,15,9.0111113228e+07
02GB001,43.353554,-80.628174,30,15,2.2414761082e+08
02GB001,43.471497,-80.547028,31,15,2.2417794537e+08
02GB001,43.589340,-80.465485,32,15,2.2414546577e+08
02GB001,43.707073,-80.383514,33,15,2.2417204879e+08
02GB001,43.824718,-80.301117,34,15,2.2194457916e+08
02GB001,43.942257,-80.218262,35,15,1.7711533786e+08
02GB001,44.059696,-80.134979,36,15,2.1135125362e+07
02GB001,43.296547,-80.878052,29,16,1.0444743352e+07
02GB001,43.414787,-80.797546,30,16,1.8548260078e+08
02GB001,43.532928,-80.716644,31,16,2.2428097426e+08
02GB001,43.650974,-80.635284,32,16,2.2427735036e+08
02GB001,43.768917,-80.553497,33,16,2.2427872094e+08
02GB001,43.886768,-80.471283,34,16,2.1965680838e+08
02GB001,44.004501,-80.388641,35,16,1.8927339225e+08
02GB001,44.122150,-80.305542,36,16,1.6907191089e+08
02GB001,44.239704,-80.221985,37,16,1.1906334567e+07
02GB001,43.475765,-80.967316,30,17,4.1300002880e+07
02GB001,43.594112,-80.886566,31,17,1.3659056856e+08
02GB001,43.712357,-80.805420,32,17,1.5829687659e+08
02GB001,43.830502,-80.723816,33,17,1.3415600816e+08
02GB001,43.948559,-80.641785,34,17,3.8215374024e+07
02GB001,44.184361,-80.476440,36,17,1.6814291114e+07
02GB001,44.302120,-80.393097,37,17,2.3365691556e+06
02GB007,43.168369,-80.122009,30,12,6.0115126113e+07
02GB007,43.285702,-80.040344,31,12,3.7267913301e+07
02GB007,43.230343,-80.290375,30,13,1.3377136024e+08
02GB007,43.347881,-80.208893,31,13,1.5154561541e+08
02GB007,43.465313,-80.126984,32,13,545397.8138637543
02GC002,42.762432,-81.027435,25,15,269090.6775604896
02GC002,42.880856,-80.948395,26,15,5.3956815110e+07
02GC002,42.703945,-81.274292,24,16,6.2358877172e+06
02GC002,42.822659,-81.195862,25,16,1.7268250422e+08
02GC002,42.941273,-81.117035,26,16,5.6068538134e+07
02GC002,42.763721,-81.442871,24,17,2.9903719160e+06
02GC002,42.882633,-81.364655,25,17,2.0642094398e+07
02GC007,42.698105,-80.444458,26,12,6.5053282018e+07
02GC007,42.815819,-80.364502,27,12,4.9303605568e+07
02GC007,42.933434,-80.284088,28,12,1.2287608265e+07
02GC007,42.759258,-80.612122,26,13,6.7894990484e+07
02GC007,42.877178,-80.532318,27,13,1.4803576685e+08
02GC007,42.994995,-80.452087,28,13,1.5225257672e+08
02GC007,43.112717,-80.371460,29,13,1.5791537330e+07
02GC007,43.056316,-80.620422,28,14,1.3640794531e+08
02GC007,43.174236,-80.539978,29,14,2.3692474113e+07
02GC007,43.117390,-80.789124,28,15,2.2215995361e+06
02GC007,43.235523,-80.708862,29,15,2.2580294633e+06
02GC010,42.877178,-80.532318,27,13,3.7360920986e+07
02GC010,42.994995,-80.452087,28,13,4.3357176236e+07
02GC010,42.820183,-80.780090,26,14,2.7642571098e+07
02GC010,42.938301,-80.700470,27,14,2.0323095566e+08
02GC010,43.056316,-80.620422,28,14,6.5293312592e+07
02GC010,42.999176,-80.868958,27,15,1.7834216128e+06
02GC018,42.701962,-80.859314,25,14,3.2809893091e+06
02GC018,42.820183,-80.780090,26,14,4.5639165289e+07
02GC018,42.938301,-80.700470,27,14,4.2541065832e+06
02GC018,42.762432,-81.027435,25,15,1.6356571392e+08
02GC018,42.880856,-80.948395,26,15,1.1744469090e+08
02GC018,42.999176,-80.868958,27,15,342380.3013039827
02GC018,42.822659,-81.195862,25,16,1.8973304739e+07
02GC026,42.759258,-80.612122,26,13,3.9259545237e+07
02GC026,42.877178,-80.532318,27,13,7.5749609042e+07
02GC026,42.994995,-80.452087,28,13,4.3357176236e+07
02GC026,42.701962,-80.859314,25,14,5.2938808192e+07
02GC026,42.820183,-80.780090,26,14,1.7043164791e+08
02GC026,42.938301,-80.700470,27,14,2.0373962741e+08
02GC026,43.056316,-80.620422,28,14,6.5293312592e+07
02GC026,42.762432,-81.027435,25,15,9587.5037778486
02GC026,42.999176,-80.868958,27,15,1.7834216128e+06
02GD004,43.117390,-80.789124,28,15,1.9879520555e+07
02GD004,43.235523,-80.708862,29,15,1.7819721144e+07
02GD004,43.059803,-81.037781,27,16,3.9737066812e+07
02GD004,43.178219,-80.958130,28,16,1.7433321720e+08
02GD004,43.296547,-80.878052,29,16,4.0409130959e+07
02GD004,43.238796,-81.127502,28,17,107428.8822118542
02GE007,42.226391,-81.995850,19,18,134584.5601224527
02GE007,42.345943,-81.919830,20,18,5.4078896093e+07
02GE007,42.465416,-81.843414,21,18,7.1572844187e+07
02GE007,42.284702,-82.164093,19,19,1.2375899264e+06
02GE007,42.404449,-82.088257,20,19,9.9973026179e+07
02GE007,42.524113,-82.012054,21,19,8.9946945868e+06
02GG002,42.823254,-81.611786,24,18,9.2917935838e+07
02GG002,42.942360,-81.533752,25,18,1.6713746998e+08
02GG002,43.061378,-81.455322,26,18,8.8542565740e+07
02GG002,43.180298,-81.376465,27,18,1.5506655260e+06
02GG002,42.763153,-81.858429,23,19,6.1774872539e+06
02GG002,42.882542,-81.781006,24,19,2.1649215250e+08
02GG002,43.001839,-81.703186,25,19,9.5190922151e+07
02GG002,42.941566,-81.950562,24,20,3.0239964528e+07
02GG002,43.061069,-81.872925,25,20,1.2312184271e+07
02GG003,42.584789,-81.766602,22,18,3.8461277980e+06
02GG003,42.704063,-81.689392,23,18,3.4497539448e+07
02GG003,42.823254,-81.611786,24,18,9.7686802987e+07
02GG003,42.942360,-81.533752,25,18,1.6713746998e+08
02GG003,43.061378,-81.455322,26,18,8.8542565740e+07
02GG003,43.180298,-81.376465,27,18,1.5506655260e+06
02GG003,42.643684,-81.935425,22,19,1.1477955301e+08
02GG003,42.763153,-81.858429,23,19,2.2353943152e+08
02GG003,42.882542,-81.781006,24,19,2.2332498177e+08
